patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts,misspelt_words,misspelt
US1700014A,1929-01-22,Eelinee fob balloon tibes,"['PROPN', 'NOUN', 'NOUN', 'NOUN']",[],1,0,4,"['eelinee', 'fob', 'balloon', 'tibes']",0,0,"{'eelinee', 'tibes'}",1
US1700146A,1926-09-03,Means for reenforcing metallic plates,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],1,0,6,"['means', 'for', 'reenforcing', 'metallic', 'plates']",0,0,{'reenforcing'},1
US1700147A,1926-12-02,Method of corrugating metallic plates,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],1,0,6,"['method', 'of', 'corrugating', 'metallic', 'plates']",0,0,{'corrugating'},1
US1700193A,1924-06-26,"Horn and/or tone box for talking machines, wireless loud speakers, and the like","['PROPN', 'CCONJ', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'INTJ']",[],1,0,16,"['horn', 'and/or', 'tone', 'box', 'for', 'talking', 'machines,', 'wireless', 'loud', 'speakers,', 'and', 'the', 'like']",0,0,"{'speakers,', 'machines,', 'and/or'}",1
US1700206A,1927-11-09,Jointer guard,"['PROPN', 'NOUN']",[],1,0,3,"['jointer', 'guard']",0,0,{'jointer'},1
US1700236A,1929-01-29,Assighqs to w,"['PROPN', 'ADP', 'ADP']",[],1,0,3,"['assighqs', 'to', 'w']",0,0,"{'assighqs', 'w'}",1
US1700272A,1927-11-30,Antiskid device,"['PROPN', 'NOUN']",['PERSON'],1,1,3,"['antiskid', 'device']",0,0,{'antiskid'},1
US1700275A,1927-07-13,Band saw oiler,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",[],1,0,5,"['band-saw', 'oiler']",0,0,{'oiler'},1
US1700287A,1929-01-29,Method and apparatus for refinincj reclaimed rubber,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN']",[],1,0,7,"['method', 'and', 'apparatus', 'for', 'refinincj', 'reclaimed', 'rubber']",0,0,{'refinincj'},1
US1700297A,1927-11-04,Shoe shank stiffener,"['NOUN', 'PUNCT', 'PROPN', 'NOUN']",[],1,0,5,"['shoe-shank', 'stiffener']",0,0,{'stiffener'},1
