patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts
US1700745A,1929-02-05,And albert b,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'albert', 'b']",0,1
US1702337A,1929-02-19,And paul h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'paul', 'h']",0,1
US1702933A,1929-02-19,And kingsley l,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'kingsley', 'l']",0,1
US1703827A,1929-02-26,And thomas h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'thomas', 'h']",0,1
US1703838A,1929-02-26,And warren t,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'warren', 't']",0,1
US1703882A,1929-03-05,And martin r,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'martin', 'r']",0,1
US1704274A,1929-03-05,To anthony coiflpakty,"['ADP', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['to', 'anthony', 'coiflpakty']",0,1
US1705495A,1929-03-19,And donald s,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'donald', 's']",0,1
US1706816A,1929-03-26,To xwrireless s,"['ADP', 'PROPN', 'PART']",[],1,0,3,"['to', 'xwrireless', 's']",0,1
US1710277A,1929-04-23,And william taylob,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'taylob']",0,1
US1711497A,1926-05-22,And william f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'f']",0,1
US1714794A,1929-05-28,And hugo hoffmahit,"['CCONJ', 'PROPN', 'VERB']",['EVENT'],1,0,3,"['and', 'hugo', 'hoffmahit']",0,1
US1715301A,1929-05-28,And bruce beardsley and paul,"['CCONJ', 'PROPN', 'PROPN', 'CCONJ', 'PROPN']",['PERSON'],1,1,5,"['and', 'bruce', 'beardsley', 'and', 'paul']",0,1
US1719031A,1929-07-02,By james p,"['ADP', 'PROPN', 'PROPN']",[],1,0,3,"['by', 'james', 'p']",0,1
US1719777A,1929-07-02,And walter s,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'walter', 's']",0,1
US1720647A,1929-07-09,And thomas w var,"['CCONJ', 'PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,4,"['and', 'thomas', 'w', 'var']",0,1
US1724174A,1929-08-13,To automatic electbic inc,"['ADP', 'ADJ', 'PROPN', 'PROPN']",[],1,0,4,"['to', 'automatic', 'electbic', 'inc']",0,1
US1725205A,1929-08-20,And lawrence brtjehl of brooklyn,"['CCONJ', 'NOUN', 'PROPN', 'ADP', 'PROPN']","['PERSON', 'GPE']",1,1,5,"['and', 'lawrence', 'brtjehl', 'of', 'brooklyn']",0,1
US1725561A,1929-08-20,And cole coolidge,"['CCONJ', 'PROPN', 'NOUN']",['PRODUCT'],1,0,3,"['and', 'cole', 'coolidge']",0,1
US1727591A,1929-09-10,And david f,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'david', 'f']",0,1
US1728680A,1929-09-17,And arthur c,"['CCONJ', 'PROPN', 'AUX']",['PERSON'],1,1,3,"['and', 'arthur', 'c']",0,1
US1729202A,1929-09-24,And william e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'e']",0,1
US1740102A,1929-12-17,Of los angeles,"['ADP', 'PROPN', 'PROPN']",['GPE'],1,0,3,"['of', 'los', 'angeles']",0,1
