patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US600012A,1898-03-01,Apparatus for drawing metal,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,0,0,set(),0
US600027A,1898-03-01,Weigh ing machine,"['PROPN', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,4,0,0,set(),0
US600076A,1898-03-01,Harrow tooth clip,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",['ORG'],1,0,4,0,0,set(),0
US600088A,1898-03-01,Current collector for dynamo electric machines,"['ADJ', 'NOUN', 'ADP', 'PROPN', 'ADJ', 'NOUN']",['ORG'],1,0,6,0,0,set(),0
US600167A,1898-03-08,Mosquito bar attachment,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",['DATE'],1,0,4,0,0,set(),0
US600191A,1898-03-08,Dam pen ing machine,"['PROPN', 'PROPN', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,5,0,0,set(),0
US600292A,1898-03-08,Apparatus for facilitating delineation of outlines of type faces,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,10,0,0,set(),0
US600300A,1898-03-08,Apparatus for separating dust,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,0,0,set(),0
US600315A,1898-03-08,Self and joseph a,"['NOUN', 'CCONJ', 'PROPN', 'PRON']",[],1,0,4,0,0,set(),0
US600333A,1898-03-08,Bracket hose reel,"['PROPN', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,4,0,0,set(),0
US600348A,1898-03-08,Apparatus employed in closing boxes,"['PROPN', 'VERB', 'ADP', 'NOUN', 'NOUN']",[],1,0,5,0,0,set(),0
US600358A,1898-03-08,Tie rod for wire springs,"['PROPN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],1,0,6,0,0,set(),0
US600359A,1898-03-08,Belt making machine,"['PROPN', 'VERB', 'NOUN']",[],1,0,3,0,0,set(),0
