patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US3300507A,1967-01-24,Benzotfflazolylbenzene amides,"['ADJ', 'VERB']",['PERSON'],0,1,2
US3301857A,1963-08-26,Spiro,['PROPN'],['PERSON'],1,1,2
US3302842A,1965-03-04,Stapler,['NOUN'],['PERSON'],0,1,2
US3302844A,1964-04-13,Carton,['PROPN'],['PERSON'],1,1,2
US3305554A,1965-09-20,Streptovitacins,['VERB'],['PERSON'],0,1,2
US3306152A,1964-06-17,Keyboard,['PROPN'],['PERSON'],1,1,2
US3313197A,1965-09-08,Screw,['NOUN'],['PERSON'],0,1,2
US3313290A,1963-08-14,Spectrofluorometer,['NOUN'],['PERSON'],0,1,2
US3315386A,1965-01-04,Label,['PROPN'],['PERSON'],1,1,2
US3315871A,1965-06-09,Carton,['PROPN'],['PERSON'],1,1,2
US3317070A,1964-12-28,Cap,['PROPN'],['PERSON'],1,1,2
US3318244A,1965-07-01,Cartridge,['PROPN'],['PERSON'],1,1,2
US3319581A,1964-11-25,Monorail,['PROPN'],['PERSON'],1,1,2
US3321774A,1964-05-04,Cap,['PROPN'],['PERSON'],1,1,2
US3322264A,1965-05-20,Carton,['PROPN'],['PERSON'],1,1,2
US3324863A,1964-03-02,Cigar,['PROPN'],['PERSON'],1,1,2
US3325995A,1965-02-03,Jack,['PROPN'],['PERSON'],1,1,2
US3327390A,1964-11-16,Shears,['NOUN'],['PERSON'],0,1,2
US3327922A,1965-04-09,Carton,['PROPN'],['PERSON'],1,1,2
US3329172A,1964-06-08,Hose,['PROPN'],['PERSON'],1,1,2
US3329317A,1965-08-12,Bin,['NOUN'],['PERSON'],0,1,2
US3330461A,1965-05-14,Capstan,['PROPN'],['PERSON'],1,1,2
US3332601A,1964-12-21,Carton,['PROPN'],['PERSON'],1,1,2
US3337033A,1965-03-22,Carton,['PROPN'],['PERSON'],1,1,2
US3337877A,1965-07-19,Cap,['PROPN'],['PERSON'],1,1,2
US3337974A,1964-12-16,Bulldozer,['PROPN'],['PERSON'],1,1,2
US3339487A,1964-02-28,Cartridge,['PROPN'],['PERSON'],1,1,2
US3340542A,1965-12-10,Cap,['PROPN'],['PERSON'],1,1,2
US3340809A,1963-06-01,Cartridge,['PROPN'],['PERSON'],1,1,2
US3340959A,1965-12-13,Scaffold,['NOUN'],['PERSON'],0,1,2
US3343180A,1966-04-18,Stretcher,['NOUN'],['PERSON'],0,1,2
US3343712A,1965-03-29,Cap,['PROPN'],['PERSON'],1,1,2
US3348758A,1966-04-01,Carton,['PROPN'],['PERSON'],1,1,2
US3349707A,1965-09-16,Cartridge,['PROPN'],['PERSON'],1,1,2
US3352476A,1965-08-24,Carton,['PROPN'],['PERSON'],1,1,2
US3353611A,1965-02-23,Harrow,['PROPN'],['PERSON'],1,1,2
US3355086A,1965-06-21,Carton,['PROPN'],['PERSON'],1,1,2
US3356021A,1967-12-05,Tail marker,"['NOUN', 'NOUN']",['PERSON'],0,1,2
US3358292A,1965-04-09,Cap,['PROPN'],['PERSON'],1,1,2
US3358337A,1967-12-19,Hose clamp,"['PROPN', 'VERB']",['PERSON'],1,1,2
US3358514A,1965-03-19,Gyroscope,['PROPN'],['PERSON'],1,1,2
US3361254A,1964-04-17,Carton,['PROPN'],['PERSON'],1,1,2
US3361330A,1966-01-06,Carton,['PROPN'],['PERSON'],1,1,2
US3362616A,1965-12-28,Carton,['PROPN'],['PERSON'],1,1,2
US3363500A,1965-03-10,Screw,['NOUN'],['PERSON'],0,1,2
US3364534A,1965-08-11,Clasp,['NOUN'],['PERSON'],0,1,2
US3365960A,1965-04-16,Gyroscope,['PROPN'],['PERSON'],1,1,2
US3370593A,1964-04-28,Cigarette,['NOUN'],['PERSON'],0,1,2
US3370859A,1965-07-16,Chuck,['PROPN'],['PERSON'],1,1,2
US3378101A,1966-08-12,Scaffold,['NOUN'],['PERSON'],0,1,2
US3378188A,1966-11-25,Carton,['PROPN'],['PERSON'],1,1,2
US3379361A,1966-12-12,Carton,['PROPN'],['PERSON'],1,1,2
US3379547A,1965-09-02,Dextrin,['PROPN'],['PERSON'],1,1,2
US3381877A,1966-01-24,Carton,['PROPN'],['PERSON'],1,1,2
US3381881A,1967-01-18,Carton,['PROPN'],['PERSON'],1,1,2
US3390705A,1965-02-19,Dobby,['VERB'],['PERSON'],0,1,2
US3390741A,1967-03-14,Scaffold,['NOUN'],['PERSON'],0,1,2
US3391757A,1966-10-19,Scaffold,['NOUN'],['PERSON'],0,1,2
US3391793A,1965-11-24,Bookrack,['NOUN'],['PERSON'],0,1,2
US3393569A,1965-05-14,Gyroscope,['PROPN'],['PERSON'],1,1,2
US3393674A,1966-04-14,Truss,['ADV'],['PERSON'],0,1,2
US3394420A,1965-08-31,Bridges,['NOUN'],['PERSON'],0,1,2
US3394654A,1965-10-14,Cartridge,['PROPN'],['PERSON'],1,1,2
US3396982A,1965-10-04,Chuck,['PROPN'],['PERSON'],1,1,2
