patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US402210A,1889-04-30,Method of condensing zinc vapors and collecting the metallic zinc therefrom,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP']",[],1,0,11,"['method', 'of', 'condensing', 'zinc', 'vapors', 'and', 'collecting', 'the', 'metallic', 'zinc', 'therefrom']",1
US402646A,1889-05-07,tainter and daniel w,"['NOUN', 'CCONJ', 'PROPN', 'ADP']",['PERSON'],1,1,4,"['tainter', 'and', 'daniel', 'w']",1
US404478A,1889-06-04,Thirds to eben w,"['NOUN', 'PART', 'PROPN', 'ADP']",[],1,0,4,"['thirds', 'to', 'eben', 'w']",1
US405134A,1889-06-11,Apparatus for condensing zinc vapors and collecting the metallic zinc therefrom,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP']",[],1,0,11,"['apparatus', 'for', 'condensing', 'zinc', 'vapors', 'and', 'collecting', 'the', 'metallic', 'zinc', 'therefrom']",1
US409894A,1889-08-27,Gar foe tie transmission of,"['PROPN', 'NOUN', 'NOUN', 'NOUN', 'ADP']",[],1,0,5,"['gar', 'foe', 'tie', 'transmission', 'of']",1
US410392A,1889-09-03,Spindle-holder for spin n i ng-mach in es,"['NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'ADP']",[],1,0,12,"['spindle-holder', 'for', 'spin', 'n', 'i', 'ng-mach', 'in', 'es']",1
US414203A,1889-11-05,Feeding mechanism for sewi ng-mach in es,"['NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'ADP']",[],1,0,9,"['feeding', 'mechanism', 'for', 'sewi', 'ng-mach', 'in', 'es']",1
US415699A,1889-11-26,Administratrix  of,"['PROPN', 'SPACE', 'ADP']",[],1,0,3,"['administratrix', 'of']",1
US418148A,1889-12-31,Apparatus for cleansim the bodies of,"['PROPN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP']",[],1,0,6,"['apparatus', 'for', 'cleansim', 'the', 'bodies', 'of']",1
US418908A,1890-01-07,Thirds to lorenzo w,"['NOUN', 'PART', 'PROPN', 'ADP']",[],1,0,4,"['thirds', 'to', 'lorenzo', 'w']",1
US418920A,1890-01-07,Beading attachment for plan i ng-mach in es,"['VERB', 'NOUN', 'ADP', 'NOUN', 'PRON', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'ADP']",[],1,0,10,"['beading', 'attachment', 'for', 'plan', 'i', 'ng-mach', 'in', 'es']",1
US419465A,1890-01-14,Apparatus for washing rubber stock and separating fine impurities therefrom,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'ADJ', 'NOUN', 'ADP']",[],1,0,10,"['apparatus', 'for', 'washing', 'rubber', 'stock', 'and', 'separating', 'fine', 'impurities', 'therefrom']",1
US420432A,1890-02-04,Method of separating the valuable portions of the tailings produced in the treatment of,"['PROPN', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']",[],1,0,14,"['method', 'of', 'separating', 'the', 'valuable', 'portions', 'of', 'the', 'tailings', 'produced', 'in', 'the', 'treatment', 'of']",1
US420975A,1890-02-11,Sto rag e- batte ry,"['PROPN', 'PROPN', 'X', 'NOUN', 'ADP']",['ORG'],1,0,5,"['sto', 'rag', 'e-', 'batte', 'ry']",1
US421399A,1890-02-18,Spool-holder for spooling-mach in es,"['PROPN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'ADP']",['ORG'],1,0,9,"['spool-holder', 'for', 'spooling-mach', 'in', 'es']",1
US423096A,1890-03-11,Thirds to moses w,"['NOUN', 'ADP', 'PROPN', 'ADP']",[],1,0,4,"['thirds', 'to', 'moses', 'w']",1
