patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US1205242A,1916-01-20,"Method of and apparatus for concrete construction 
     ","['PROPN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SPACE']",[],1,0,8,0,0,set(),0
US1225866A,1916-08-09,"Bag holder 
     ","['PROPN', 'PUNCT', 'NOUN', 'SPACE']",[],1,0,4,0,0,set(),0
US1237139A,1917-08-14,Method of and apparatus for extracting oil from subterranean strata ,"['PROPN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],1,0,10,0,0,set(),0
US1245307A,1916-04-03,"Lateral motion journal box 
     ","['ADJ', 'PUNCT', 'PROPN', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",[],1,0,7,0,0,set(),0
US1260474A,1917-09-12,"Parachute case or envelop 
     ","['PROPN', 'NOUN', 'CCONJ', 'VERB', 'SPACE']",[],1,0,5,0,0,set(),0
US1262720A,1917-10-10,"Molding apparatus 
     ","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,set(),0
US1265261A,1917-12-15,"Means for adjusting the size of leggings 
     ","['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],1,0,8,0,0,set(),0
US1279141A,1918-09-17,Skeleton girdle or belt ,"['PROPN', 'NOUN', 'CCONJ', 'NOUN']",['ORG'],1,0,4,0,0,set(),0
US1280506A,1916-12-19,"Workman's time recorder 
     ","['PROPN', 'PART', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['ORG'],1,0,6,0,0,set(),0
US1284583A,1918-11-12,Apparatus for making battery wrappers ,"['PROPN', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,6,0,0,set(),0
US1288924A,1917-11-22,"Pin game board 
     ","['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['ORG'],1,0,5,0,0,set(),0
US1292575A,1918-02-28,"Stylus holder 
     ","['PROPN', 'PUNCT', 'NOUN', 'SPACE']",[],1,0,4,0,0,set(),0
US1296223A,1918-05-13,"Easel display carton 
     ","['NOUN', 'NOUN', 'PUNCT', 'PROPN', 'SPACE']",[],1,0,5,0,0,set(),0
US1299862A,1917-08-16,"Motor sleigh 
     ","['NOUN', 'PUNCT', 'PROPN', 'SPACE']",[],1,0,4,0,0,set(),0
