patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US2300006A,1942-10-27,Di aryl ,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,0,0,{'aryl'},1
US2300017A,1941-10-11,"Railway roadbed cleaner 
     ","['PROPN', 'VERB', 'ADJ', 'SPACE']",[],1,0,4,0,0,{'roadbed'},1
US2300021A,1940-08-28,"Multidrawer container 
     ","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,{'multidrawer'},1
US2300038A,1940-09-09,"Means for teaching telegraphy 
     ","['PROPN', 'ADP', 'VERB', 'NOUN', 'SPACE']",[],1,0,5,0,0,{'telegraphy'},1
US2300065A,1940-12-27,"Method of purification of polymerized rosins and rosin esters 
     ","['PROPN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'SPACE']",[],1,0,10,0,0,"{'polymerized', 'esters', 'rosins'}",1
US2300141A,1940-07-25,"Remelting method and apparatus 
     ","['NOUN', 'NOUN', 'CCONJ', 'PROPN', 'SPACE']",[],1,0,5,0,0,{'remelting'},1
US2300168A,1939-09-12,"Moistureproof material 
     ","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,{'moistureproof'},1
US2300208A,1940-04-19,"Urea aldehyde resin composition 
     ","['PROPN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'aldehyde'},1
US2300257A,1941-03-07,"Carbon interleaved stationery 
     ","['PROPN', 'VERB', 'NOUN', 'SPACE']",[],1,0,4,0,0,{'interleaved'},1
US2300276A,1939-12-09,"Strip feed for typewriting machines 
     ","['PROPN', 'NOUN', 'ADP', 'VERB', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'typewriting'},1
US2300393A,1942-11-03,Method of increasing fluid perme ,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],1,0,5,0,0,{'perme'},1
US2300433A,1941-04-14,"Ester of hydrogenated polymerized rosin and method of making the same 
     ","['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'DET', 'ADJ', 'SPACE']",[],1,0,12,0,0,{'polymerized'},1
US2300491A,1939-10-21,"Paperboard box or basket 
     ","['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'SPACE']",[],1,0,5,0,0,{'paperboard'},1
US2300507A,1940-08-01,"Lockable loop hasp 
     ","['ADJ', 'NOUN', 'PROPN', 'SPACE']",[],1,0,4,0,0,"{'lockable', 'hasp'}",1
US2300508A,1940-12-11,"Toggle swung lockable hasp 
     ","['PROPN', 'VERB', 'PROPN', 'PROPN', 'SPACE']",['ORG'],1,0,5,0,0,"{'lockable', 'hasp'}",1
US2300509A,1941-06-26,"Fastener with lockable camming hasp 
     ","['PROPN', 'ADP', 'ADJ', 'PROPN', 'PROPN', 'SPACE']",[],1,0,6,0,0,"{'lockable', 'hasp', 'camming'}",1
US2300553A,1939-09-07,"Method of and apparatus for valving bags 
     ","['PROPN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'SPACE']",[],1,0,8,0,0,{'valving'},1
US2300566A,1939-03-10,"Process of preparing polymerization products 
     ","['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'polymerization'},1
US2300567A,1939-01-16,"Tube wall juxtaposing mechanism 
     ","['PROPN', 'NOUN', 'NOUN', 'NOUN', 'SPACE']",[],1,0,5,0,0,{'juxtaposing'},1
US2300570A,1940-07-19,"Method of preparing alkylol cyanamide condensation products 
     ","['PROPN', 'ADP', 'VERB', 'PROPN', 'NOUN', 'NOUN', 'NOUN', 'SPACE']",[],1,0,8,0,0,"{'alkylol', 'cyanamide'}",1
US2300588A,1940-06-07,"Dibenzyl cyanamide as an insecticide 
     ","['PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'SPACE']",[],1,0,6,0,0,"{'dibenzyl', 'cyanamide'}",1
US2300590A,1941-06-04,"Conditioning of drilling muds 
     ","['NOUN', 'ADP', 'VERB', 'PROPN', 'SPACE']",[],1,0,5,0,0,{'muds'},1
US2300597A,1939-05-23,"Dialkyl cyanamide compound 
     ","['PROPN', 'NOUN', 'NOUN', 'SPACE']",[],1,0,4,0,0,"{'dialkyl', 'cyanamide'}",1
US2300598A,1938-07-19,"Process of producing butene 2 diol 1, 4 and its substitution products 
     ","['PROPN', 'ADP', 'VERB', 'SPACE', 'PUNCT', 'SPACE', 'PUNCT', 'NUM', 'CCONJ', 'PRON', 'NOUN', 'NOUN', 'SPACE']",['CARDINAL'],1,0,13,0,0,"{'butene', 'diol', '1,'}",1
US2300651A,1940-06-24,"Process for the purification of pectin 
     ","['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'SPACE']",[],1,0,7,0,0,{'pectin'},1
US2300654A,1940-12-12,"Pitot tube 
     ","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,{'pitot'},1
US2300659A,1942-11-03,Lead resinates of hydrogenated ,"['PROPN', 'NOUN', 'ADP', 'VERB']",[],1,0,4,0,0,{'resinates'},1
US2300676A,1940-06-03,"Nu (1 carboxyacylaminoethylthiomethyl) derivatives, and the process of producing them 
     ","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'ADP', 'VERB', 'PRON', 'SPACE']",['GPE'],1,0,13,0,0,"{'derivatives,', '(1', 'carboxyacylaminoethylthiomethyl)'}",1
US2300677A,1940-06-03,"Nu (1 carboxy 1 acylaminoethyl thiomethyl) and n, n' bis (1 carboxy 1 acylaminoethylthiomethyl) derivatives of 4, 4' diaminodiphenyl sulphone, their salts, and the method of producing them and their salts 
     ","['NOUN', 'PUNCT', 'SPACE', 'PUNCT', 'NOUN', 'PROPN', 'PUNCT', 'CCONJ', 'ADV', 'PUNCT', 'NOUN', 'PUNCT', 'SPACE', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'PRON', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'ADP', 'VERB', 'PRON', 'CCONJ', 'PRON', 'NOUN', 'SPACE']","['GPE', 'GPE', 'CARDINAL']",1,0,36,0,0,"{'salts,', 'acylaminoethyl', 'acylaminoethylthiomethyl)', ""n'"", 'carboxy', 'sulphone,', 'diaminodiphenyl', ""4'"", 'n,', 'thiomethyl)', '(1', '4,'}",1
US2300678A,1940-06-03,"N, n' dimethylene 4, 4' diaminodiphenyl sulphone 
     ","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'NOUN', 'SPACE']","['ORG', 'GPE']",1,0,7,0,0,"{""n'"", 'diaminodiphenyl', ""4'"", 'n,', 'sulphone', 'dimethylene', '4,'}",1
US2300686A,1942-11-03,Lead resinate and method of ,"['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],1,0,5,0,0,{'resinate'},1
US2300715A,1941-05-26,"Multicolor proof press 
     ","['PROPN', 'NOUN', 'NOUN', 'SPACE']",[],1,0,4,0,0,{'multicolor'},1
US2300734A,1939-07-14,"Process of making chroman compounds 
     ","['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'chroman'},1
US2300736A,1938-05-20,"Method of making filamentous glass 
     ","['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'filamentous'},1
US2300741A,1942-11-03,Method of pumfying j picoline ,"['PROPN', 'ADP', 'VERB', 'PROPN', 'PUNCT', 'NOUN']",[],1,0,6,0,0,"{'picoline', 'pumfying', 'j'}",1
US2300817A,1935-12-31,"Formation of polymers from mixed olefins and iso olefins 
     ","['NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'PROPN', 'SPACE']",[],1,0,11,0,0,{'olefins'},1
US2300857A,1941-06-21,"Overload protection for multispeed motors 
     ","['NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'SPACE']",[],1,0,6,0,0,{'multispeed'},1
US2300898A,1941-03-27,"Bedcover supporting device 
     ","['PROPN', 'VERB', 'NOUN', 'SPACE']",[],1,0,4,0,0,{'bedcover'},1
US2300913A,1941-07-22,"Insulator bushing 
     ","['PROPN', 'VERB', 'SPACE']",[],1,0,3,0,0,{'bushing'},1
US2300920A,1938-06-07,"Interpolymers of vinyl sulphonic acid with another vinyl compound and aqueous emulsions thereof 
     ","['PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADV', 'SPACE']",[],1,0,14,0,0,"{'interpolymers', 'sulphonic', 'emulsions'}",1
