patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts
US2302819A,1940-01-24,"N,n'-polymethylene-bis-omicron-hydroxy-benzamide-modified polyamides","['CCONJ', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN']",[],1,0,15,"[""n,n'-polymethylene-bis-omicron-hydroxy-benzamide-modified"", 'polyamides']",0,1
US2310572A,1941-09-26,By-pass type liner hanger,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PROPN']",[],1,0,7,"['by-pass', 'type', 'liner', 'hanger']",0,1
US2342214A,1942-09-23,By-product coke oven plant,"['ADP', 'PUNCT', 'NOUN', 'X', 'PROPN', 'NOUN']",[],1,0,7,"['by-product', 'coke', 'oven', 'plant']",0,1
US2343328A,1940-12-14,Weft straightening method and apparatus,"['ADP', 'VERB', 'NOUN', 'CCONJ', 'PROPN']",[],1,0,6,"['weft', 'straightening', 'method', 'and', 'apparatus']",0,1
US2345316A,1941-05-17,Through and inward telegraph exchange system,"['ADP', 'CCONJ', 'ADJ', 'PROPN', 'NOUN', 'NOUN']",[],1,0,7,"['through', 'and', 'inward', 'telegraph', 'exchange', 'system']",0,1
US2364593A,1943-09-08,"N, n'-diarylamidines","['CCONJ', 'PUNCT', 'PROPN']",[],1,0,4,"['n,', ""n'-diarylamidines""]",0,1
US2309714A,1940-04-29,Reedfor musical instruments,"['ADP', 'ADJ', 'NOUN']",[],0,0,4,"['reedfor', 'musical', 'instruments']",0,1
US2311477A,1942-03-10,Inside micrometer,"['ADP', 'NOUN']",[],0,0,3,"['inside', 'micrometer']",0,1
US2311749A,1942-01-13,Hairpin vending machine,"['ADP', 'VERB', 'NOUN']",[],0,0,4,"['hairpin', 'vending', 'machine']",0,1
US2315101A,1941-07-29,Dropout half-tone negative,"['ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,6,"['dropout', 'half-tone', 'negative']",0,1
US2315394A,1940-04-25,Inside mold form,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['inside', 'mold', 'form']",0,1
US2316345A,1939-07-27,Outside covering for buildings,"['ADP', 'VERB', 'ADP', 'NOUN']",[],0,0,5,"['outside', 'covering', 'for', 'buildings']",0,1
US2317021A,1940-02-05,By-pass and releasing means,"['ADP', 'PUNCT', 'NOUN', 'CCONJ', 'VERB', 'VERB']",[],0,0,7,"['by-pass', 'and', 'releasing', 'means']",0,1
US2319358A,1941-10-07,Through supervision system,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['through', 'supervision', 'system']",0,1
US2322060A,1940-12-18,Pompon making device and process,"['ADP', 'VERB', 'NOUN', 'CCONJ', 'NOUN']",[],0,0,6,"['pompon', 'making', 'device', 'and', 'process']",0,1
US2327599A,1941-06-28,On-center valve vacuum governor and spark control,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN']",[],0,0,10,"['on-center', 'valve', 'vacuum', 'governor', 'and', 'spark', 'control']",0,1
US2330184A,1941-05-05,Inside hone for cylinders,"['ADP', 'NOUN', 'ADP', 'NOUN']",[],0,0,5,"['inside', 'hone', 'for', 'cylinders']",0,1
US2335156A,1942-02-13,Wheelless four-tools-in-one disk implement,"['ADP', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'PUNCT', 'NUM', 'NOUN', 'NOUN']",['CARDINAL'],0,0,11,"['wheelless', 'four-tools-in-one', 'disk', 'implement']",0,1
US2335753A,1943-01-11,Over-and-under scale,"['ADP', 'PUNCT', 'CCONJ', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,7,"['over-and-under', 'scale']",0,1
US2336069A,1943-01-23,Through-flow comminutor,"['ADP', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,"['through-flow', 'comminutor']",0,1
US2344837A,1943-05-24,Inside caliper,"['ADP', 'ADJ']",[],0,0,3,"['inside', 'caliper']",0,1
US2345160A,1942-05-23,Through-current pilot-generator or regulator,"['ADP', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN']",[],0,0,9,"['through-current', 'pilot-generator', 'or', 'regulator']",0,1
US2347057A,1941-03-28,Ampoule washer,"['ADP', 'NOUN']",[],0,0,3,"['ampoule', 'washer']",0,1
US2348238A,1944-05-09,and lavatory fixture,"['CCONJ', 'ADJ', 'NOUN']",[],0,0,3,"['and', 'lavatory', 'fixture']",0,1
US2349818A,1942-01-13,By-product feed,"['ADP', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,"['by-product', 'feed']",0,1
US2351929A,1942-10-05,Inside pipe cutter,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['inside', 'pipe', 'cutter']",0,1
US2352837A,1943-01-16,Over-bed table attachment,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,6,"['over-bed', 'table', 'attachment']",0,1
US2353113A,1942-10-08,Downspout of wood for gutters,"['ADP', 'ADP', 'NOUN', 'ADP', 'NOUN']",[],0,0,6,"['downspout', 'of', 'wood', 'for', 'gutters']",0,1
US2357304A,1943-08-05,Antispin attachment for link trainers,"['ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],0,0,6,"['antispin', 'attachment', 'for', 'link', 'trainers']",0,1
US2357347A,1940-09-20,Under and over stitching machine,"['ADP', 'CCONJ', 'ADP', 'VERB', 'NOUN']",[],0,0,6,"['under', 'and', 'over', 'stitching', 'machine']",0,1
US2357689A,1943-01-21,Inside micrometer,"['ADP', 'NOUN']",[],0,0,3,"['inside', 'micrometer']",0,1
US2359644A,1943-10-01,Ampoule opener,"['ADP', 'NOUN']",[],0,0,3,"['ampoule', 'opener']",0,1
US2361267A,1941-05-29,By-pass for scales,"['ADP', 'PUNCT', 'NOUN', 'ADP', 'NOUN']",[],0,0,6,"['by-pass', 'for', 'scales']",0,1
US2365847A,1941-06-17,Between-the-lens shutter synchronization,"['ADP', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,8,"['between-the-lens', 'shutter', 'synchronization']",0,1
US2368748A,1943-02-19,Over-bed table,"['ADP', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,"['over-bed', 'table']",0,1
US2372246A,1943-07-20,Inside curing rim,"['ADP', 'VERB', 'NOUN']",[],0,0,4,"['inside', 'curing', 'rim']",0,1
US2372358A,1942-12-10,Acyl phenyl dithiophosphoric acids and their preparation,"['ADP', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'PRON', 'NOUN']",[],0,0,8,"['acyl', 'phenyl', 'dithiophosphoric', 'acids', 'and', 'their', 'preparation']",0,1
US2375077A,1944-05-04,By-pass valve,"['ADP', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,"['by-pass', 'valve']",0,1
US2377240A,1943-06-12,Inside caliper,"['ADP', 'ADJ']",[],0,0,3,"['inside', 'caliper']",0,1
US2383128A,1943-01-05,Acetylsulphanilyl chloride,"['ADP', 'NOUN']",[],0,0,3,"['acetylsulphanilyl', 'chloride']",0,1
US2384343A,1943-01-21,Inside micrometer,"['ADP', 'NOUN']",[],0,0,3,"['inside', 'micrometer']",0,1
US2385157A,1944-01-21,Inside diameter measuring and indicator gauge,"['ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'VERB']",[],0,0,7,"['inside', 'diameter', 'measuring', 'and', 'indicator', 'gauge']",0,1
US2391551A,1943-01-08,By-pass control valve,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB']",[],0,0,6,"['by-pass', 'control', 'valve']",0,1
US2392213A,1942-06-03,By-pass control valve,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB']",[],0,0,6,"['by-pass', 'control', 'valve']",0,1
US2392214A,1942-12-26,By-pass control valve,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB']",[],0,0,6,"['by-pass', 'control', 'valve']",0,1
US2396815A,1942-11-05,By-pass valve mechanism,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,6,"['by-pass', 'valve', 'mechanism']",0,1
US2396982A,1945-05-07,Inside door lock,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['inside', 'door', 'lock']",0,1
US2397850A,1942-08-22,Amplifier gain control,"['ADP', 'NOUN', 'NOUN']",['PERSON'],0,1,4,"['amplifier', 'gain', 'control']",0,1
US2398507A,1944-02-05,Down lighting apparatus,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['down', 'lighting', 'apparatus']",0,1
US2399881A,1942-08-26,Weft inserting device,"['ADP', 'VERB', 'NOUN']",['ORG'],0,0,4,"['weft', 'inserting', 'device']",0,1
