patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US300123A,1884-06-10,And chaeles john,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,0,1
US300648A,1884-06-17,And hermann a,"['CCONJ', 'PROPN', 'PRON']",[],1,0,3,0,1
US300684A,1884-06-17,And james c,"['CCONJ', 'PROPN', 'AUX']",[],1,0,3,0,1
US300833A,1884-06-24,And gustavus g,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US301186A,1884-07-01,And isaac l,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US301187A,1884-07-01,And isaac l,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US301607A,1884-07-08,And feank h,"['CCONJ', 'PROPN', 'PROPN']",['ORG'],1,0,3,0,1
US302096A,1884-07-15,And franklin j,"['CCONJ', 'PROPN', 'PROPN']",['ORG'],1,0,3,0,1
US304680A,1884-09-02,And enoch j,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US304681A,1884-09-02,And enoch j,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US304989A,1884-09-09,And flora b,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US305356A,1884-09-16,And isaac l,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US305633A,1884-09-23,And campbell p,"['CCONJ', 'PROPN', 'NOUN']",['ORG'],1,0,3,0,1
US305650A,1884-09-23,And julius f,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US308405A,1884-11-25,And thomas egles,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,0,1
US309584A,1884-12-23,And isaac l,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US309586A,1884-12-23,And cheistian f,"['CCONJ', 'ADJ', 'PROPN']",[],1,0,3,0,1
US309758A,1884-12-23,And isaac l,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US310056A,1884-12-30,And isaac l,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US310681A,1885-01-13,And george weber,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US312954A,1885-02-24,And everett eaedon,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US313829A,1885-03-10,And john a,"['CCONJ', 'PROPN', 'PRON']",[],1,0,3,0,1
US314115A,1885-03-17,And pateick kenny,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US315049A,1885-04-07,And henby b,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US315122A,1885-04-07,And joseph t,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US318632A,1885-05-19,of zstew yoek,"['ADP', 'ADJ', 'PROPN']",[],1,0,3,0,1
US318666A,1885-05-19,And alfred j,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,0,1
US321578A,1885-07-07,And elisha s,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US323317A,1885-07-28,And lyman smith,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US325096A,1885-08-25,And john coffin,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,0,1
US326041A,1885-09-08,To  franklin,"['ADP', 'SPACE', 'PROPN']",[],1,0,3,0,1
US326218A,1885-09-15,And samuel t,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US327725A,1885-10-06,For layiig o ut patterns,"['ADP', 'PROPN', 'NOUN', 'ADJ', 'NOUN']",[],1,0,5,0,1
US329160A,1885-10-27,And benjamin f,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US330321A,1885-11-10,And feancis g,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US330974A,1885-11-24,And abraham l,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US331761A,1885-12-08,And christian c,"['CCONJ', 'PROPN', 'AUX']",['NORP'],1,0,3,0,1
US332110A,1885-12-08,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US335218A,1886-02-02,And frank b,"['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US336785A,1886-02-23,By marriage now sarah,"['ADP', 'NOUN', 'ADV', 'PROPN']",[],1,0,4,0,1
US336912A,1886-03-02,And gomee jones,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US338435A,1886-03-23,And joseph u,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US339354A,1886-04-06,And heney l,"['CCONJ', 'PROPN', 'NOUN']",['ORG'],1,0,3,0,1
US341485A,1886-05-11,Under braider for sewing-m ach ines,"['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN']",[],1,0,8,0,1
US342801A,1886-06-01,And david e,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US342920A,1886-06-01,And hoeace w,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,0,1
US343455A,1886-06-08,And thomas c,"['CCONJ', 'PROPN', 'AUX']",[],1,0,3,0,1
US344205A,1886-06-22,And frederick m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US344464A,1886-06-29,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US344465A,1886-06-29,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US345601A,1886-07-13,And david c,"['CCONJ', 'PROPN', 'AUX']",[],1,0,3,0,1
US347046A,1886-08-10,To george h,"['ADP', 'VERB', 'PROPN']",[],1,0,3,0,1
US347207A,1886-08-10,And joseph kil,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US349106A,1886-09-14,And david h,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US349767A,1886-09-28,And dennis j,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,0,1
US350266A,1886-10-05,And thomas m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US351989A,1886-11-02,And john t,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US352781A,1886-11-16,And harris filson,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US353356A,1886-11-30,And thomas bedstead,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US353714A,1886-12-07,And james c,"['CCONJ', 'PROPN', 'AUX']",[],1,0,3,0,1
US354694A,1886-12-21,And paul e,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US357535A,1887-02-08,And david p,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US357642A,1887-02-15,of hanover square,"['ADP', 'PROPN', 'PROPN']",[],1,0,3,0,1
US358459A,1887-03-01,And john c,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US358856A,1887-03-08,And henry hebeeling,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US358921A,1887-03-08,And fbedbick peteb eos,"['CCONJ', 'ADJ', 'PROPN', 'PROPN']",['ORG'],1,0,4,0,1
