patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US219843A,1879-09-23,Improvement in processes for manufacturing ornamented moldings of carton-pierre or,"['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'CCONJ']",[],1,0,12,"['improvement', 'in', 'processes', 'for', 'manufacturing', 'ornamented', 'moldings', 'of', 'carton-pierre', 'or']",1
US222231A,1879-12-02,I m p rove ivl e nt in,"['PRON', 'VERB', 'NOUN', 'PROPN', 'CCONJ', 'PROPN', 'PART', 'ADP']",[],1,0,8,"['i', 'm', 'p', 'rove', 'ivl', 'e', 'nt', 'in']",1
US222325A,1879-12-02,M ac h in,"['NOUN', 'PROPN', 'NOUN', 'ADP']",[],1,0,4,"['m', 'ac', 'h', 'in']",1
US224945A,1880-02-24,Apparatus for illustrating the rules of per,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'ADP']",[],1,0,7,"['apparatus', 'for', 'illustrating', 'the', 'rules', 'of', 'per']",1
US228466A,1880-06-08,Assig-nob to,"['PROPN', 'PUNCT', 'PROPN', 'ADP']",[],1,0,4,"['assig-nob', 'to']",1
US228900A,1880-06-15,Assig-nob to,"['PROPN', 'PUNCT', 'PROPN', 'ADP']",[],1,0,4,"['assig-nob', 'to']",1
US231143A,1880-08-17,Assig-noe of one-thied of,"['PROPN', 'PUNCT', 'NUM', 'ADP', 'NUM', 'PUNCT', 'NOUN', 'ADP']",['CARDINAL'],1,0,8,"['assig-noe', 'of', 'one-thied', 'of']",1
US233332A,1880-10-19,Method of and apparatus for bottling and barreling malt and fermented liquids under,"['PROPN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP']",[],1,0,13,"['method', 'of', 'and', 'apparatus', 'for', 'bottling', 'and', 'barreling', 'malt', 'and', 'fermented', 'liquids', 'under']",1
US233742A,1880-10-26,Le eot w,"['PROPN', 'VERB', 'ADP']",[],1,0,3,"['le', 'eot', 'w']",1
US235681A,1880-12-21,Hale to anson w,"['PROPN', 'ADP', 'NOUN', 'ADP']",['PERSON'],1,1,4,"['hale', 'to', 'anson', 'w']",1
