patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US3400140A,1965-10-28,Sulfurized oxymolybdenum organophos-phorodithioates and process therefor,"['VERB', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],1,0,9,"['sulfurized', 'oxymolybdenum', 'organophos-phorodithioates', 'and', 'process', 'therefor']",1
US3400334A,1964-11-12,Solid state switching type linear amplifier,"['ADJ', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'ADP']",[],1,0,7,"['solid', 'state', 'switching', 'type', 'linear', 'amplifier']",1
US3402022A,1965-01-04,Method for producing hydrogen and a catalyst therefor,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP']",[],1,0,9,"['method', 'for', 'producing', 'hydrogen', 'and', 'a', 'catalyst', 'therefor']",1
US3402100A,1965-08-24,Emulsions of fatty acids and acrolein polymers and sizing paper therewith,"['NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP']",[],1,0,12,"['emulsions', 'of', 'fatty', 'acids', 'and', 'acrolein', 'polymers', 'and', 'sizing', 'paper', 'therewith']",1
US3402717A,1965-08-12,Endotracheal tube with valved balloon having a removable inflation stylet insert therein,"['ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'ADP']",[],1,0,13,"['endotracheal', 'tube', 'with', 'valved', 'balloon', 'having', 'a', 'removable', 'inflation', 'stylet', 'insert', 'therein']",1
US3403013A,1967-04-11,Method of operating an internal combustion engine and motor fuel therefor,"['PROPN', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP']",[],1,0,12,"['method', 'of', 'operating', 'an', 'internal', 'combustion', 'engine', 'and', 'motor', 'fuel', 'therefor']",1
US3403171A,1965-06-16,"Process for 17alpha-acetoxy-6-methyl-16-methylene-4, 6-pregnadiene-3, 20-dione and intermediates therefor","['NOUN', 'ADP', 'NOUN', 'PUNCT', 'SPACE', 'PUNCT', 'PROPN', 'PUNCT', 'SPACE', 'PUNCT', 'NUM', 'NUM', 'SPACE', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'CCONJ', 'VERB', 'ADP']","['DATE', 'CARDINAL', 'CARDINAL']",1,0,21,"['process', 'for', '17alpha-acetoxy-6-methyl-16-methylene-4,', '6-pregnadiene-3,', '20-dione', 'and', 'intermediates', 'therefor']",1
US3403182A,1965-05-25,"Tricyclo[3.3.2.0 4, 6]decadiene-2, 7-one-10 and process therefor","['PROPN', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'SYM', 'NUM', 'CCONJ', 'NOUN', 'ADP']","['CARDINAL', 'ORG', 'DATE']",1,0,12,"['tricyclo[3.3.2.0', '4,', '6]decadiene-2,', '7-one-10', 'and', 'process', 'therefor']",1
US3403263A,1963-04-10,Method and apparatus for optical fiber curve follower including method and apparatus for making position scale therefor,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'ADP']",[],1,0,18,"['method', 'and', 'apparatus', 'for', 'optical', 'fiber', 'curve', 'follower', 'including', 'method', 'and', 'apparatus', 'for', 'making', 'position', 'scale', 'therefor']",1
US3403329A,1963-11-29,Flux-gate magnetometer with magnetic amplifier,"['PROPN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'ADP']",[],1,0,8,"['flux-gate', 'magnetometer', 'with', 'magnetic', 'amplifier']",1
US3403449A,1964-09-14,Method of accurately positioning a halftone screen and template therefor,"['PROPN', 'ADP', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],1,0,11,"['method', 'of', 'accurately', 'positioning', 'a', 'halftone', 'screen', 'and', 'template', 'therefor']",1
US3403967A,1961-07-03,"2, 4'-dihydroxy-3', 5'-ditertiary-butylbenzophenone and compositions stabilized therewith","['NUM', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']","['CARDINAL', 'CARDINAL']",1,0,13,"['2,', ""4'-dihydroxy-3',"", ""5'-ditertiary-butylbenzophenone"", 'and', 'compositions', 'stabilized', 'therewith']",1
US3404503A,1966-08-01,Anchor insert and releasable pick-up unit therefor,"['PROPN', 'NOUN', 'CCONJ', 'ADJ', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'ADP']",[],1,0,10,"['anchor', 'insert', 'and', 'releasable', 'pick-up', 'unit', 'therefor']",1
US3404895A,1965-08-25,Phonograph tone arm and cartridge assembly therefor,"['NOUN', 'NOUN', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'ADP']",[],1,0,8,"['phonograph', 'tone', 'arm', 'and', 'cartridge', 'assembly', 'therefor']",1
US3404945A,1963-08-29,Conditioning apparatus and indicator control therefor,"['NOUN', 'NOUN', 'CCONJ', 'PROPN', 'PROPN', 'ADP']",[],1,0,7,"['conditioning', 'apparatus', 'and', 'indicator', 'control', 'therefor']",1
US3405043A,1965-06-15,Method of producing silicon and electrolytic cell therefor,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP']",[],1,0,9,"['method', 'of', 'producing', 'silicon', 'and', 'electrolytic', 'cell', 'therefor']",1
