patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts,misspelt_words,misspelt
US704930A,1901-07-24,Means for impressing periodically varying electric currents upon telegraph or other circuits,"['PROPN', 'ADP', 'VERB', 'ADV', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'SCONJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN']",[],1,0,14,"['means', 'for', 'impressing', 'periodically-varying', 'electric', 'currents', 'upon', 'telegraph', 'or', 'other', 'circuits']",0,0,set(),0
US713326A,1899-10-25,Maintaining synchronous rotation of dynamo electric machines,"['VERB', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADJ', 'NOUN']",[],1,0,9,"['maintaining', 'synchronous', 'rotation', 'of', 'dynamo-electric', 'machines']",0,0,set(),0
US719786A,1902-04-10,Cooking utensil,"['VERB', 'PROPN']",[],1,0,3,"['cooking', 'utensil']",0,0,set(),0
US732420A,1901-04-13,Breakdown gun,"['PROPN', 'NOUN']",[],1,0,3,"['breakdown', 'gun']",0,0,set(),0
US748595A,1904-01-05,Method of waterproofing and finishing the surface of stone,"['PROPN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']",[],1,0,9,"['method', 'of', 'waterproofing', 'and', 'finishing', 'the', 'surface', 'of', 'stone']",0,0,set(),0
US748597A,1904-01-05,Lee de forest,"['PROPN', 'X', 'NOUN']",['PERSON'],1,1,3,"['lee', 'de', 'forest']",0,0,set(),0
US748609A,1904-01-05,Thirds to ma as,"['NOUN', 'ADP', 'PROPN', 'ADP']",[],1,0,4,"['thirds', 'to', 'ma', 'as']",0,0,set(),0
US748614A,1904-01-05,Joseph henry jones,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['joseph', 'henry', 'jones']",0,0,set(),0
US748624A,1904-01-05,Cigar box filler,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",['PERSON'],1,1,4,"['cigar-box', 'filler']",0,0,set(),0
US748631A,1904-01-05,William donald mitchell,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['william', 'donald', 'mitchell']",0,0,set(),0
US748646A,1904-01-05,William martin paul,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['william', 'martin', 'paul']",0,0,set(),0
US748653A,1904-01-05,Friedrich adolf richter,"['PROPN', 'NOUN', 'NOUN']",[],1,0,3,"['friedrich', 'adolf', 'richter']",0,0,set(),0
US748687A,1904-01-05,Process of generating gas,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,"['process', 'of', 'generating', 'gas']",0,0,set(),0
US748710A,1904-01-05,Means for facilitating casting and drawing fish nets,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,9,"['means', 'for', 'facilitating', 'casting', 'and', 'drawing', 'fish-nets']",0,0,set(),0
US748736A,1904-01-05,Angle steel,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,['angle-steel'],0,0,set(),0
US748747A,1904-01-05,Half to thomas i,"['NOUN', 'PART', 'PROPN', 'PRON']",['CARDINAL'],1,0,4,"['half', 'to', 'thomas', 'i']",0,0,set(),0
US748826A,1904-01-05,Rail joint  for tracks and e,"['NOUN', 'PUNCT', 'PROPN', 'ADP', 'NOUN', 'CCONJ', 'NOUN']",[],1,0,7,"['rail-joint-', 'for', 'tracks', 'and', 'e']",0,0,set(),0
US748840A,1904-01-05,Apparatus for mixing and delivering air and gas,"['PROPN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'CCONJ', 'NOUN']",[],1,0,8,"['apparatus', 'for', 'mixing', 'and', 'delivering', 'air', 'and', 'gas']",0,0,set(),0
US748850A,1904-01-05,Method of manufacturing ornamented or lettered articles,"['PROPN', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'NOUN']",[],1,0,7,"['method', 'of', 'manufacturing', 'ornamented', 'or', 'lettered', 'articles']",0,0,set(),0
US748851A,1904-01-05,Robert kennedy duncan,"['PROPN', 'PROPN', 'VERB']","['PERSON', 'PERSON']",1,1,3,"['robert', 'kennedy', 'duncan']",0,0,set(),0
US748863A,1904-01-05,Cigar box,"['PROPN', 'PUNCT', 'NOUN']",['PERSON'],1,1,3,['cigar-box'],0,0,set(),0
US748865A,1904-01-05,Method of clarifying liquors,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,"['method', 'of', 'clarifying', 'liquors']",0,0,set(),0
US748866A,1904-01-05,Method of making glue from hides,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN']",[],1,0,6,"['method', 'of', 'making', 'glue', 'from', 'hides']",0,0,set(),0
US748867A,1904-01-05,Quartz mill,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,['quartz-mill'],0,0,set(),0
US748882A,1904-01-05,Walter clay peters and william bellamy,"['NOUN', 'NOUN', 'NOUN', 'CCONJ', 'PROPN', 'ADJ']",['PERSON'],1,1,6,"['walter', 'clay', 'peters', 'and', 'william', 'bellamy']",0,0,set(),0
US748933A,1904-01-05,Apparatus for the manufacture of gas,"['PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']",[],1,0,6,"['apparatus', 'for', 'the', 'manufacture', 'of', 'gas']",0,0,set(),0
US748939A,1904-01-05,Chart or pattern for crochet work,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,7,"['chart', 'or', 'pattern', 'for', 'crochet-work']",0,0,set(),0
US748940A,1904-01-05,Method of producing electrodes for storage batteries,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],1,0,7,"['method', 'of', 'producing', 'electrodes', 'for', 'storage', 'batteries']",0,0,set(),0
US749004A,1904-01-05,Method of treating wood,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,"['method', 'of', 'treating', 'wood']",0,0,set(),0
US749014A,1904-01-05,Invalid sling,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,['invalid-sling'],0,0,set(),0
US749045A,1904-01-05,James samuel foley,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['james', 'samuel', 'foley']",0,0,set(),0
US749053A,1904-01-05,Charles james grist,"['PROPN', 'PROPN', 'PROPN']",[],1,0,3,"['charles', 'james', 'grist']",0,0,set(),0
US749078A,1904-01-05,Process of manufacturing ether,"['PROPN', 'ADP', 'VERB', 'ADV']",[],1,0,4,"['process', 'of', 'manufacturing', 'ether']",0,0,set(),0
US749079A,1904-01-05,Button blank cutting machine,"['PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN']",['GPE'],1,0,6,"['button-blank-cutting', 'machine']",0,0,set(),0
US749135A,1904-01-05,laugh lin,"['PROPN', 'PUNCT', 'PROPN']",[],1,0,3,['laugh-lin'],0,0,set(),0
US749150A,1904-01-12,The morris peters co,"['DET', 'PROPN', 'PROPN', 'VERB']",[],1,0,4,"['the', 'morris', 'peters', 'co']",0,0,set(),0
US749178A,1904-01-12,Lee de forest,"['PROPN', 'X', 'NOUN']",['PERSON'],1,1,3,"['lee', 'de', 'forest']",0,0,set(),0
US749179A,1904-01-12,Apparatus for grinding or polishing metals,"['PROPN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN']",[],1,0,6,"['apparatus', 'for', 'grinding', 'or', 'polishing', 'metals']",0,0,set(),0
US749215A,1904-01-12,Means for controlling the recoil of guns,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']",[],1,0,7,"['means', 'for', 'controlling', 'the', 'recoil', 'of', 'guns']",0,0,set(),0
US749257A,1904-01-12,Bench shears,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,['bench-shears'],0,0,set(),0
US749282A,1904-01-12,Reservoir for storing petroleum,"['PROPN', 'ADP', 'VERB', 'NOUN']",['ORG'],1,0,4,"['reservoir', 'for', 'storing', 'petroleum']",0,0,set(),0
US749360A,1904-01-12,Sound box for sound recording and reproducing machines,"['PROPN', 'PUNCT', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'NOUN']",[],1,0,9,"['sound-box', 'for', 'sound', 'recording', 'and', 'reproducing', 'machines']",0,0,set(),0
US749371A,1904-01-12,Lee be forest,"['PROPN', 'VERB', 'NOUN']",['PERSON'],1,1,3,"['lee', 'be', 'forest']",0,0,set(),0
US749374A,1904-01-12,Method of extinguishing fires,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,"['method', 'of', 'extinguishing', 'fires']",0,0,set(),0
US749376A,1904-01-12,Umbrella rib retainer,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",['ORG'],1,0,4,"['umbrella-rib', 'retainer']",0,0,set(),0
US749418A,1904-01-12,Method of making carbon articles,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN']",[],1,0,5,"['method', 'of', 'making', 'carbon', 'articles']",0,0,set(),0
US749420A,1904-01-12,Method of making cereal malted food,"['PROPN', 'ADP', 'VERB', 'NOUN', 'VERB', 'NOUN']",[],1,0,6,"['method', 'of', 'making', 'cereal', 'malted', 'food']",0,0,set(),0
US749434A,1904-01-12,Lee de forest,"['PROPN', 'X', 'NOUN']",['PERSON'],1,1,3,"['lee', 'de', 'forest']",0,0,set(),0
US749436A,1904-01-12,Lee de forest,"['PROPN', 'X', 'NOUN']",['PERSON'],1,1,3,"['lee', 'de', 'forest']",0,0,set(),0
US749468A,1904-01-12,Method of regulating turbines,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,"['method', 'of', 'regulating', 'turbines']",0,0,set(),0
US749539A,1904-01-12,Match box,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,['match-box'],0,0,set(),0
US749564A,1904-01-12,Process of preparing rice food products,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'NOUN']",[],1,0,6,"['process', 'of', 'preparing', 'rice', 'food', 'products']",0,0,set(),0
US749588A,1904-01-12,Arthur william smith,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['arthur', 'william', 'smith']",0,0,set(),0
US749616A,1904-01-12,Mandolin pick holder,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",['GPE'],1,0,4,"['mandolin-pick', 'holder']",0,0,set(),0
US749674A,1904-01-12,Otto nicholas hoffman,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['otto', 'nicholas', 'hoffman']",0,0,set(),0
