patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts
US3609578A,1970-03-18,Oscillator having feedback amplitude control and switchable output phase shifter,"['ADP', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'PROPN']",[],1,0,11,"['oscillator', 'having', 'feedback', 'amplitude', 'control', 'and', 'switchable', 'output', 'phase', 'shifter']",0,1
US3616509A,1970-02-12,In-line unit carrier loader,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PROPN']",[],1,0,7,"['in-line', 'unit', 'carrier', 'loader']",0,1
US3629095A,1967-06-29,In or relating to vacuum apparatus,"['ADP', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'PROPN']",[],1,0,7,"['in', 'or', 'relating', 'to', 'vacuum', 'apparatus']",0,1
US3646601A,1969-10-22,Off-angle balance correction method and apparatus,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'PROPN']",[],1,0,9,"['off-angle', 'balance', 'correction', 'method', 'and', 'apparatus']",0,1
US3655059A,1970-05-14,In-line fuel flow restricting and filter assembly,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'CCONJ', 'NOUN', 'PROPN']",[],1,0,10,"['in-line', 'fuel', 'flow', 'restricting', 'and', 'filter', 'assembly']",0,1
US3668159A,1970-12-23,In situ process for trans-isomerization and conjugation of resins containing fatty acid esters,"['ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADJ', 'PROPN', 'NOUN']",[],1,0,16,"['in', 'situ', 'process', 'for', 'trans-isomerization', 'and', 'conjugation', 'of', 'resins', 'containing', 'fatty', 'acid', 'esters']",0,1
US3673430A,1971-08-23,Cos/mos phase comparator for monolithic integration,"['ADP', 'SYM', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],1,0,9,"['cos/mos', 'phase', 'comparator', 'for', 'monolithic', 'integration']",0,1
US3676759A,1969-09-26,On-off motor control push button switch for photographic apparatus,"['ADP', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],1,0,12,"['on-off', 'motor', 'control', 'push', 'button', 'switch', 'for', 'photographic', 'apparatus']",0,1
US3682040A,1969-10-08,En bloc fire control group for a pistol,"['ADP', 'PROPN', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN']",[],1,0,9,"['en', 'bloc', 'fire', 'control', 'group', 'for', 'a', 'pistol']",0,1
US3698681A,1970-12-15,On-off clamp for i. v. systems,"['ADP', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN']",['ORG'],1,0,9,"['on-off', 'clamp', 'for', 'i.', 'v.', 'systems']",0,1
US3600698A,1969-01-23,Amplifier provided with automatic level control,"['ADP', 'VERB', 'ADP', 'ADJ', 'NOUN', 'NOUN']",['PERSON'],0,1,7,"['amplifier', 'provided', 'with', 'automatic', 'level', 'control']",0,1
US3601129A,1969-02-18,Pacifier,['ADP'],[],0,0,2,['pacifier'],0,1
US3601193A,1968-04-02,In situ retorting of oil shale,"['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],0,0,7,"['in', 'situ', 'retorting', 'of', 'oil', 'shale']",0,1
US3601523A,1970-06-19,Through hole connectors,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['through', 'hole', 'connectors']",0,1
US3601983A,1968-11-08,By-pass valves for gas turbines,"['ADP', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],0,0,8,"['by-pass', 'valves', 'for', 'gas', 'turbines']",0,1
US3603487A,1969-11-17,In-line sealant dispenser,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,6,"['in-line', 'sealant', 'dispenser']",0,1
US3604843A,1969-05-08,Amplifier circuits,"['ADP', 'NOUN']",['PERSON'],0,1,3,"['amplifier', 'circuits']",0,1
US3604912A,1968-08-21,In-line partial derivative multiplier for computer circuits,"['ADP', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN']",[],0,0,10,"['in-line', 'partial', 'derivative', 'multiplier', 'for', 'computer', 'circuits']",0,1
US3605808A,1969-06-23,In-line externally adjustable flow control and needle valve assembly,"['ADP', 'PUNCT', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN']",[],0,0,12,"['in-line', 'externally', 'adjustable', 'flow', 'control', 'and', 'needle', 'valve', 'assembly']",0,1
