patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US2400017A,1941-12-30,Means for actuating aircraft control surfaces,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'NOUN']",[],1,0,7,0,0,{'actuating'},1
US2400038A,1944-09-07,Esters of secondary phenolic amines,"['NOUN', 'ADP', 'ADJ', 'PROPN', 'NOUN']",['ORDINAL'],1,0,6,0,0,"{'amines', 'esters', 'phenolic'}",1
US2400045A,1946-05-07,Hydroxy pyrmine derivatives,"['PROPN', 'PUNCT', 'NOUN', 'NOUN']",['NORP'],1,0,4,0,0,"{'hydroxy', 'pyrmine'}",1
US2400050A,1944-07-03,Tetrahydrofurfuryl ether of aminodiphenylamine,"['PROPN', 'ADV', 'ADP', 'PROPN']",[],1,0,5,0,0,"{'aminodiphenylamine', 'tetrahydrofurfuryl'}",1
US2400090A,1942-10-05,Hydrocarbon isomerization,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'isomerization'},1
US2400095A,1941-05-23,Thiocyano substituted carboxylic acid esters,"['PROPN', 'VERB', 'ADJ', 'NOUN', 'NOUN']",['ORG'],1,0,6,0,0,"{'thiocyano', 'esters', 'carboxylic'}",1
US2400120A,1941-07-25,Phosphatide composition and method of preparing,"['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB']",[],1,0,7,0,0,{'phosphatide'},1
US2400188A,1943-01-11,Acid anthraquinone dyestuff,"['PROPN', 'NOUN', 'NOUN']",[],1,0,4,0,0,"{'anthraquinone', 'dyestuff'}",1
US2400210A,1944-08-05,Shoulder perfectioner,"['PROPN', 'NOUN']",['ORG'],1,0,3,0,0,{'perfectioner'},1
US2400233A,1943-12-06,Roller ironer,"['PROPN', 'PROPN']",[],1,0,3,0,0,{'ironer'},1
US2400264A,1944-07-07,Watchmaker's tool,"['PROPN', 'PART', 'NOUN']",['ORG'],1,0,4,0,0,"{""watchmaker's""}",1
US2400288A,1944-02-25,Process of making dinitroethyleneurea,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,5,0,0,{'dinitroethyleneurea'},1
US2400337A,1942-07-01,Mycalex products,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'mycalex'},1
US2400358A,1943-08-26,Snubber for hoists,"['PROPN', 'ADP', 'NOUN']",[],1,0,4,0,0,{'snubber'},1
US2400361A,1942-08-04,Method of pretreating cellulose to facilitate its acylation,"['PROPN', 'ADP', 'VERB', 'NOUN', 'PART', 'VERB', 'PRON', 'NOUN']",[],1,0,9,0,0,"{'pretreating', 'acylation'}",1
US2400370A,1943-11-11,"Process and apparatus for producing in the pure state, butyl alcohol, acetone, and ethyl alcohol from watery solutions","['NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],1,0,22,0,0,"{'butyl', 'state,', 'acetone,', 'alcohol,'}",1
US2400387A,1943-07-01,Method and apparatus for forging crankcases,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN']",[],1,0,7,0,0,{'crankcases'},1
US2400421A,1944-06-09,"Cloche, greenhouse, and the like","['PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'INTJ']",[],1,0,8,0,0,"{'greenhouse,', 'cloche,'}",1
US2400423A,1942-02-09,Polymerization of maltose,"['NOUN', 'ADP', 'PROPN']",[],1,0,4,0,0,"{'polymerization', 'maltose'}",1
US2400428A,1942-12-02,Nonskid tire,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'nonskid'},1
US2400436A,1943-06-30,Biotin intermediate,"['PROPN', 'PROPN']",[],1,0,3,0,0,{'biotin'},1
US2400463A,1942-04-29,Method of producing trichloropropionic acid,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],1,0,6,0,0,{'trichloropropionic'},1
US2400464A,1944-10-20,Method of producing methyl beta chloroacrylate,"['PROPN', 'ADP', 'VERB', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,9,0,0,{'chloroacrylate'},1
