patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US3800958A,1972-08-11,Bookrack,['NOUN'],['PERSON'],0,1,2
US3804034A,1972-05-09,Armor,['NOUN'],['PERSON'],0,1,2
US3806260A,1971-12-14,Mitt,['PROPN'],['PERSON'],1,1,2
US3808651A,1972-11-21,Clasp,['NOUN'],['PERSON'],0,1,2
US3811139A,1972-10-24,Stretcher,['NOUN'],['PERSON'],0,1,2
US3811531A,1971-12-06,Silencer,['PROPN'],['PERSON'],1,1,2
US3814651A,1971-06-05,Labeler,['PROPN'],['PERSON'],1,1,2
US3815735A,1972-06-28,Carton,['PROPN'],['PERSON'],1,1,2
US3817126A,1972-07-17,Decapper,['NOUN'],['PERSON'],0,1,2
US3819603A,1970-06-30,Sulfaguanidines,['NOUN'],['PERSON'],0,1,2
US3826248A,1971-09-21,Laryngoscope,['PROPN'],['PERSON'],1,1,2
US3830496A,1971-10-14,Bat,['PROPN'],['PERSON'],1,1,2
US3833231A,1972-02-01,Chuck,['PROPN'],['PERSON'],1,1,2
US3834020A,1971-11-19,Shears,['NOUN'],['PERSON'],0,1,2
US3834276A,1970-09-08,Rams,['NOUN'],['PERSON'],0,1,2
US3834311A,1971-06-01,Cartridge,['PROPN'],['PERSON'],1,1,2
US3836049A,1973-07-12,Clasp,['NOUN'],['PERSON'],0,1,2
US3836097A,1972-12-04,Silencer,['PROPN'],['PERSON'],1,1,2
US3839794A,1973-05-25,Shears,['NOUN'],['PERSON'],0,1,2
US3840051A,1971-03-11,Straightener,['PROPN'],['PERSON'],1,1,2
US3842092A,1972-04-05,Sesquicillin,['PROPN'],['PERSON'],1,1,2
US3842675A,1972-12-26,Thermometer,['PROPN'],['PERSON'],1,1,2
US3844000A,1963-09-27,Clasp,['NOUN'],['PERSON'],0,1,2
US3844720A,1973-01-03,Urinometer,['PROPN'],['PERSON'],1,1,2
US3847315A,1972-07-18,Holster,['ADJ'],['PERSON'],0,1,2
US3850363A,1973-07-16,Carton,['PROPN'],['PERSON'],1,1,2
US3851290A,1973-08-06,Fuse,['NOUN'],['PERSON'],0,1,2
US3851728A,1973-04-11,Scaffold,['NOUN'],['PERSON'],0,1,2
US3851858A,1973-10-29,Toeboard,['PROPN'],['PERSON'],1,1,2
US3854738A,1973-05-31,Monoski,['PROPN'],['PERSON'],1,1,2
US3857226A,1973-10-11,Thatcher,['PROPN'],['PERSON'],1,1,2
US3857936A,1971-05-26,Melinacidin,['PROPN'],['PERSON'],1,1,2
US3860894A,1974-05-17,Solenoid,['ADJ'],['PERSON'],0,1,2
US3861038A,1973-10-25,Shears,['NOUN'],['PERSON'],0,1,2
US3861582A,1973-04-16,Carton,['PROPN'],['PERSON'],1,1,2
US3861693A,1973-08-20,Chuck,['PROPN'],['PERSON'],1,1,2
US3862712A,1973-08-27,Stapler,['NOUN'],['PERSON'],0,1,2
US3863369A,1972-08-14,Label,['PROPN'],['PERSON'],1,1,2
US3868120A,1972-10-03,Chuck,['PROPN'],['PERSON'],1,1,2
US3870323A,1972-08-19,Chuck,['PROPN'],['PERSON'],1,1,2
US3871568A,1972-09-13,Carton,['PROPN'],['PERSON'],1,1,2
US3873570A,1970-11-27,Lactones,['NOUN'],['PERSON'],0,1,2
US3879602A,1973-06-11,Keyboard,['PROPN'],['PERSON'],1,1,2
US3880365A,1972-10-23,Mill,['NOUN'],['PERSON'],0,1,2
US3880543A,1972-08-16,Jig,['PROPN'],['PERSON'],1,1,2
US3880907A,1971-10-19,Arylsulfonylformamidoximes,['NOUN'],['PERSON'],0,1,2
US3881763A,1974-06-03,Chuck,['PROPN'],['PERSON'],1,1,2
US3884222A,1974-03-11,Laryngoscope,['PROPN'],['PERSON'],1,1,2
US3884273A,1972-01-04,Dobby,['VERB'],['PERSON'],0,1,2
US3894681A,1973-03-26,Carton,['PROPN'],['PERSON'],1,1,2
US3895523A,1973-10-08,Thermometer,['PROPN'],['PERSON'],1,1,2
US3897853A,1971-11-24,Silencer,['PROPN'],['PERSON'],1,1,2
US3898734A,1974-03-29,Shears,['NOUN'],['PERSON'],0,1,2
