patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US3500103A,1966-12-07,Electric timepiece drive with cut-off,"['PROPN', 'PROPN', 'VERB', 'ADP', 'VERB', 'PUNCT', 'ADP']",[],1,0,8,"['electric', 'timepiece', 'drive', 'with', 'cut-off']",1
US3500152A,1967-06-06,"Remote control receiver for operating a motor with a superregenerative detector,bandpass amplifier and dc motor drive amplifier","['ADJ', 'NOUN', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'NOUN', 'ADP']",[],1,0,20,"['remote', 'control', 'receiver', 'for', 'operating', 'a', 'motor', 'with', 'a', 'superregenerative', 'detector,bandpass', 'amplifier', 'and', 'dc', 'motor', 'drive', 'amplifier']",1
US3500219A,1966-08-15,Audio amplifier,"['PROPN', 'ADP']",[],1,0,3,"['audio', 'amplifier']",1
US3500713A,1968-03-14,Drill screw and reaming collar therefor,"['PROPN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP']",[],1,0,7,"['drill', 'screw', 'and', 'reaming', 'collar', 'therefor']",1
US3500831A,1964-05-14,Film walled resilient nipples and containers and liquid containing packages integral therewith,"['PROPN', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADP']",[],1,0,13,"['film', 'walled', 'resilient', 'nipples', 'and', 'containers', 'and', 'liquid', 'containing', 'packages', 'integral', 'therewith']",1
US3501341A,1964-08-07,Method of permanently sterilizing textiles with a solution of at least one n,"['PROPN', 'ADP', 'ADV', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADJ', 'NUM', 'ADP']",['CARDINAL'],1,0,13,"['method', 'of', 'permanently', 'sterilizing', 'textiles', 'with', 'a', 'solution', 'of', 'at', 'least', 'one', 'n']",1
US3501657A,1969-01-08,Synchronous a.c. motor with a permanent magnet rotor and directional control therefor,"['ADJ', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP']",[],1,0,14,"['synchronous', 'a.c.', 'motor', 'with', 'a', 'permanent', 'magnet', 'rotor', 'and', 'directional', 'control', 'therefor']",1
US3501706A,1967-02-20,Broadband microwave parametric amplifier,"['PROPN', 'VERB', 'NOUN', 'ADP']",[],1,0,5,"['broadband', 'microwave', 'parametric', 'amplifier']",1
US3502469A,1967-12-29,Dye developer diffusion transfer system and yellow dye developer therefor,"['PROPN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'ADP']",[],1,0,11,"['dye', 'developer', 'diffusion', 'transfer', 'system', 'and', 'yellow', 'dye', 'developer', 'therefor']",1
US3502851A,1964-06-01,Method of identifying a rolling stock and a device therefor,"['PROPN', 'ADP', 'VERB', 'DET', 'VERB', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP']",[],1,0,11,"['method', 'of', 'identifying', 'a', 'rolling', 'stock', 'and', 'a', 'device', 'therefor']",1
US3502955A,1966-11-03,Pulse forming circuit and capacitor discharge ignition systems therewith,"['PROPN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP']",[],1,0,10,"['pulse', 'forming', 'circuit', 'and', 'capacitor', 'discharge', 'ignition', 'systems', 'therewith']",1
