patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts
US500148A,1893-06-27,And richard w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'richard', 'w']",0,1
US500160A,1893-06-27,And william d,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'd']",0,1
US500371A,1893-06-27,And paul riessner,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'paul', 'riessner']",0,1
US500372A,1893-06-27,And paul riessner,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'paul', 'riessner']",0,1
US500373A,1893-06-27,And paul riessner,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'paul', 'riessner']",0,1
US500374A,1893-06-27,And paul riessner,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'paul', 'riessner']",0,1
US500478A,1893-06-27,And william j,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'j']",0,1
US500742A,1893-07-04,And john h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'h']",0,1
US500799A,1893-07-04,Wh eel-c u ltivato r,"['ADP', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'NOUN']",[],1,0,7,"['wh', 'eel-c', 'u', 'ltivato', 'r']",0,1
US501112A,1893-07-11,And john r,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'john', 'r']",0,1
US501583A,1893-07-18,And william f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'f']",0,1
US501810A,1893-07-18,And ulrich bohren,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'ulrich', 'bohren']",0,1
US502170A,1893-07-25,Per walfrid brundin,"['ADP', 'NOUN', 'PROPN']",['PERSON'],1,1,3,"['per', 'walfrid', 'brundin']",0,1
US503369A,1893-08-15,And david a,"['CCONJ', 'PROPN', 'PRON']",[],1,0,3,"['and', 'david', 'a']",0,1
US503502A,1893-08-15,And thomas m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'thomas', 'm']",0,1
US503616A,1893-08-22,And francis t,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'francis', 't']",0,1
US503632A,1893-08-22,And daniel h,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'daniel', 'h']",0,1
US503696A,1893-08-22,And william f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'f']",0,1
US503847A,1893-08-22,And peter s,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'peter', 's']",0,1
US504077A,1893-08-29,And fred hildreth,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,"['and', 'fred', 'hildreth']",0,1
US505462A,1893-09-26,And jens redlefsen,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'jens', 'redlefsen']",0,1
US505529A,1893-09-26,And charles mccumber,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'charles', 'mccumber']",0,1
US505531A,1893-09-26,And william p,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'william', 'p']",0,1
US505955A,1893-10-03,And francis toy,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'francis', 'toy']",0,1
US505987A,1893-10-03,And john h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'h']",0,1
US506263A,1893-10-10,And addison l,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'addison', 'l']",0,1
US506920A,1893-10-17,And william s,"['CCONJ', 'PROPN', 'PART']",['PERSON'],1,1,3,"['and', 'william', 's']",0,1
US506921A,1893-10-17,And william s,"['CCONJ', 'PROPN', 'PART']",['PERSON'],1,1,3,"['and', 'william', 's']",0,1
US508480A,1893-11-14,And george n,"['CCONJ', 'PROPN', 'X']",['PERSON'],1,1,3,"['and', 'george', 'n']",0,1
US508511A,1893-11-14,And samuel c,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'samuel', 'c']",0,1
US508573A,1893-11-14,And john gllaspie,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'john', 'gllaspie']",0,1
US508625A,1893-11-14,And edwin h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'edwin', 'h']",0,1
US508630A,1893-11-14,And john w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'w']",0,1
US508906A,1893-11-21,And james allingham,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'james', 'allingham']",0,1
US509070A,1893-11-21,And fred hildreth,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,"['and', 'fred', 'hildreth']",0,1
US509182A,1893-11-21,And samuel h,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'samuel', 'h']",0,1
US509358A,1893-11-28,And paul riessner,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'paul', 'riessner']",0,1
US509833A,1893-11-28,And colin mcintosh,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'colin', 'mcintosh']",0,1
US509938A,1893-12-05,of fond du lac,"['ADP', 'ADJ', 'PROPN', 'PROPN']",[],1,0,4,"['of', 'fond', 'du', 'lac']",0,1
US510011A,1893-12-05,And william ii,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'ii']",0,1
US510032A,1893-12-05,And isaac risley,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'isaac', 'risley']",0,1
US510386A,1893-12-05,And thomas lanigan,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'thomas', 'lanigan']",0,1
US510387A,1893-12-05,And thomas lanigan,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'thomas', 'lanigan']",0,1
US510428A,1893-12-12,And harry c,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'harry', 'c']",0,1
US510573A,1893-12-12,And francis ii,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'francis', 'ii']",0,1
US510617A,1893-12-12,And frank c,"['CCONJ', 'ADJ', 'PROPN']",[],1,0,3,"['and', 'frank', 'c']",0,1
US510929A,1893-12-19,And leland laflin,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,"['and', 'leland', 'laflin']",0,1
US511211A,1893-12-19,And samuel h,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'samuel', 'h']",0,1
US511743A,1893-12-26,And john b,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'b']",0,1
US512071A,1894-01-02,For screw pullet blooes,"['ADP', 'PROPN', 'NOUN', 'NOUN']",[],1,0,4,"['for', 'screw', 'pullet', 'blooes']",0,1
US512155A,1894-01-02,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'george', 'm']",0,1
US512427A,1894-01-09,And duane n,"['CCONJ', 'PROPN', 'X']",[],1,0,3,"['and', 'duane', 'n']",0,1
US512687A,1894-01-16,And thomas r,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'thomas', 'r']",0,1
US512764A,1894-01-16,And william b,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'b']",0,1
US512910A,1894-01-16,And jacob h,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'jacob', 'h']",0,1
US513004A,1894-01-16,And james l,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'james', 'l']",0,1
US513062A,1894-01-16,And george e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'george', 'e']",0,1
US513268A,1894-01-23,And george n,"['CCONJ', 'PROPN', 'X']",['PERSON'],1,1,3,"['and', 'george', 'n']",0,1
US513475A,1894-01-30,And hjalmar l,"['CCONJ', 'PROPN', 'PROPN']",['ORG'],1,0,3,"['and', 'hjalmar', 'l']",0,1
US513491A,1894-01-30,And william hollis,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'hollis']",0,1
US513818A,1894-01-30,And samuel edward beecher,"['CCONJ', 'PROPN', 'PROPN', 'ADV']",['PERSON'],1,1,4,"['and', 'samuel', 'edward', 'beecher']",0,1
US513892A,1894-01-30,And nathaniel m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'nathaniel', 'm']",0,1
US514120A,1894-02-06,And frank m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'frank', 'm']",0,1
US514729A,1894-02-13,And samuel h,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'samuel', 'h']",0,1
US515187A,1894-02-20,And william h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'h']",0,1
US515489A,1894-02-27,And john w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'w']",0,1
US515673A,1894-02-27,And edwin c,"['CCONJ', 'PROPN', 'AUX']",[],1,0,3,"['and', 'edwin', 'c']",0,1
US515748A,1894-03-06,And peter de long myers,"['CCONJ', 'PROPN', 'PROPN', 'PROPN', 'NOUN']",['PERSON'],1,1,5,"['and', 'peter', 'de', 'long', 'myers']",0,1
US516310A,1894-03-13,And hobert edwin duncan,"['CCONJ', 'ADJ', 'PROPN', 'PROPN']","['PERSON', 'PERSON']",1,1,4,"['and', 'hobert', 'edwin', 'duncan']",0,1
US516490A,1894-03-13,And george h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'george', 'h']",0,1
US516674A,1894-03-20,And daniel b,"['CCONJ', 'PROPN', 'X']",[],1,0,3,"['and', 'daniel', 'b']",0,1
US516694A,1894-03-20,And warren k,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'warren', 'k']",0,1
US516695A,1894-03-20,And warren k,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'warren', 'k']",0,1
US516825A,1894-03-20,And edwin h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'edwin', 'h']",0,1
US516887A,1894-03-20,And josiah p,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'josiah', 'p']",0,1
US517017A,1894-03-27,And george w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'george', 'w']",0,1
US517783A,1894-04-03,And james casey,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'james', 'casey']",0,1
US518467A,1894-04-17,And henry burk,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'henry', 'burk']",0,1
US518693A,1894-04-24,And benjamin g,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'benjamin', 'g']",0,1
US519255A,1894-05-01,And la motte c,"['CCONJ', 'DET', 'PROPN', 'AUX']",['PERSON'],1,1,4,"['and', 'la', 'motte', 'c']",0,1
US519328A,1894-05-08,And william p,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'william', 'p']",0,1
US519385A,1894-05-08,And john w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'w']",0,1
US519926A,1894-05-15,And peter fleck,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'peter', 'fleck']",0,1
US520649A,1894-05-29,And herbert s,"['CCONJ', 'PROPN', 'PART']",['PERSON'],1,1,3,"['and', 'herbert', 's']",0,1
US520788A,1894-06-05,And edwin pl,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'edwin', 'pl']",0,1
US521191A,1894-06-12,And george e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'george', 'e']",0,1
US521295A,1894-06-12,And george sniffin,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'george', 'sniffin']",0,1
US521518A,1894-06-19,And william h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'h']",0,1
US522261A,1894-07-03,And john g,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'g']",0,1
US522388A,1894-07-03,And anthony f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'anthony', 'f']",0,1
US522754A,1894-07-10,And james m,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'james', 'm']",0,1
US522819A,1894-07-10,And james l,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'james', 'l']",0,1
US522902A,1894-07-10,And edward j,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'edward', 'j']",0,1
US522951A,1894-07-10,And arthur c,"['CCONJ', 'PROPN', 'AUX']",['PERSON'],1,1,3,"['and', 'arthur', 'c']",0,1
US523164A,1894-07-17,And robert lundell,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'robert', 'lundell']",0,1
US523165A,1894-07-17,And robert lundell,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'robert', 'lundell']",0,1
US523166A,1894-07-17,And robert lundell,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'robert', 'lundell']",0,1
US523384A,1894-07-24,And john w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'w']",0,1
US523385A,1894-07-24,And john w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'w']",0,1
US523397A,1894-07-24,And joseph cummings,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'joseph', 'cummings']",0,1
US523400A,1894-07-24,And arthur w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'arthur', 'w']",0,1
US523816A,1894-07-31,And john h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'h']",0,1
US523840A,1894-07-31,And harry p,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'harry', 'p']",0,1
US524335A,1894-08-14,To james mundell,"['ADP', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['to', 'james', 'mundell']",0,1
US524827A,1894-08-21,And clayton test,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'clayton', 'test']",0,1
US525608A,1894-09-04,And delano d,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'delano', 'd']",0,1
US526094A,1894-09-18,And frederick w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'frederick', 'w']",0,1
US526356A,1894-09-18,And joseph broich,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'joseph', 'broich']",0,1
US526392A,1894-09-25,And william p,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'william', 'p']",0,1
US526579A,1894-09-25,And james henry tinder,"['CCONJ', 'PROPN', 'PROPN', 'NOUN']",['PERSON'],1,1,4,"['and', 'james', 'henry', 'tinder']",0,1
US526717A,1894-10-02,And josiah e,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'josiah', 'e']",0,1
US527030A,1894-10-02,And james s,"['CCONJ', 'PROPN', 'PART']",['PERSON'],1,1,3,"['and', 'james', 's']",0,1
US527314A,1894-10-09,And william e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'e']",0,1
US527777A,1894-10-23,And benjamin f,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'benjamin', 'f']",0,1
US527983A,1894-10-23,And elliott s,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'elliott', 's']",0,1
US528227A,1894-10-30,And john barnes,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'john', 'barnes']",0,1
US528278A,1894-10-30,And samuel h,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'samuel', 'h']",0,1
US528440A,1894-10-30,And nathaniel o,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'nathaniel', 'o']",0,1
US528610A,1894-11-06,And john zipp,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'zipp']",0,1
US528616A,1894-11-06,To the shaw elec,"['ADP', 'DET', 'NOUN', 'PROPN']",[],1,0,4,"['to', 'the', 'shaw', 'elec']",0,1
US528913A,1894-11-13,And john s,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'john', 's']",0,1
US528914A,1894-11-13,And john s,"['CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['and', 'john', 's']",0,1
US528962A,1894-11-13,And george f,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'george', 'f']",0,1
US529059A,1894-11-13,And michael b,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'michael', 'b']",0,1
US529332A,1894-11-13,And george f,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'george', 'f']",0,1
US529389A,1894-11-20,At t dtjj n elv,"['ADP', 'PROPN', 'NOUN', 'NOUN', 'PROPN']",[],1,0,5,"['at', 't', 'dtjj', 'n', 'elv']",0,1
US529401A,1894-11-20,And henry l,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'henry', 'l']",0,1
US529781A,1894-11-27,Per anton ceaelius,"['ADP', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['per', 'anton', 'ceaelius']",0,1
US530328A,1894-12-04,And james e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'james', 'e']",0,1
US530627A,1894-12-11,And john zipp,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'zipp']",0,1
US530762A,1894-12-11,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'george', 'm']",0,1
US530763A,1894-12-11,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'george', 'm']",0,1
US531089A,1894-12-18,And david shaw,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'david', 'shaw']",0,1
US531267A,1894-12-18,And alexander miller,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'alexander', 'miller']",0,1
US531269A,1894-12-18,And william n,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'n']",0,1
US531718A,1895-01-01,And marshall g,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,"['and', 'marshall', 'g']",0,1
US532059A,1895-01-08,And robert e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'robert', 'e']",0,1
US532217A,1895-01-08,And john de tries,"['CCONJ', 'PROPN', 'PROPN', 'VERB']",['PERSON'],1,1,4,"['and', 'john', 'de', 'tries']",0,1
US532704A,1895-01-15,And ludwig kloz,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'ludwig', 'kloz']",0,1
US533029A,1895-01-22,And warren f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'warren', 'f']",0,1
US533030A,1895-01-22,And warren f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'warren', 'f']",0,1
US533096A,1895-01-29,And john schutz,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'schutz']",0,1
US533653A,1895-02-05,And henry ii,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'henry', 'ii']",0,1
US533845A,1895-02-05,And george h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'george', 'h']",0,1
US534224A,1895-02-12,And max b,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'max', 'b']",0,1
US534324A,1895-02-19,And morton g,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'morton', 'g']",0,1
US534653A,1895-02-26,And charles n,"['CCONJ', 'PROPN', 'X']",['PERSON'],1,1,3,"['and', 'charles', 'n']",0,1
US534919A,1895-02-26,And nicholas h,"['CCONJ', 'NOUN', 'PROPN']",['PERSON'],1,1,3,"['and', 'nicholas', 'h']",0,1
US535204A,1895-03-05,And john edward stead,"['CCONJ', 'PROPN', 'PROPN', 'VERB']",['PERSON'],1,1,4,"['and', 'john', 'edward', 'stead']",0,1
US535333A,1895-03-05,And frank howard,"['CCONJ', 'VERB', 'PROPN']",['PERSON'],1,1,3,"['and', 'frank', 'howard']",0,1
US535711A,1895-03-12,And howard k,"['CCONJ', 'PROPN', 'X']",['PERSON'],1,1,3,"['and', 'howard', 'k']",0,1
US536083A,1895-03-19,And joseph k,"['CCONJ', 'PROPN', 'X']",['PERSON'],1,1,3,"['and', 'joseph', 'k']",0,1
US536437A,1895-03-26,And james j,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'james', 'j']",0,1
US536467A,1895-03-26,And alexander scott williams,"['CCONJ', 'PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,4,"['and', 'alexander', 'scott', 'williams']",0,1
US536586A,1895-03-26,And james p,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'james', 'p']",0,1
US536587A,1895-03-26,And john d,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'd']",0,1
US536805A,1895-04-02,And william w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'w']",0,1
US536826A,1895-04-02,And david m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'david', 'm']",0,1
US537306A,1895-04-09,And albert b,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'albert', 'b']",0,1
US537421A,1895-04-09,And jesse b,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'jesse', 'b']",0,1
US537986A,1895-04-23,And william e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'e']",0,1
US538408A,1895-04-30,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'george', 'm']",0,1
US538409A,1895-04-30,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'george', 'm']",0,1
US538487A,1895-04-30,And robert sneider,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'robert', 'sneider']",0,1
US538695A,1895-05-07,And george r,"['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,"['and', 'george', 'r']",0,1
US539027A,1895-05-14,To charles d,"['ADP', 'PROPN', 'NOUN']",[],1,0,3,"['to', 'charles', 'd']",0,1
US539669A,1895-05-21,And thomas w,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'thomas', 'w']",0,1
US540174A,1895-05-28,And thomas h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'thomas', 'h']",0,1
US540193A,1895-05-28,And william f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'f']",0,1
US540810A,1895-06-11,And john h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'h']",0,1
US541797A,1895-06-25,And francis j,"['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,"['and', 'francis', 'j']",0,1
US542186A,1895-07-02,And thomas mcfeely,"['CCONJ', 'PROPN', 'ADV']",['PERSON'],1,1,3,"['and', 'thomas', 'mcfeely']",0,1
US542256A,1895-07-09,And joseph h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'joseph', 'h']",0,1
US542541A,1895-07-09,And george m,"['CCONJ', 'PROPN', 'VERB']",[],1,0,3,"['and', 'george', 'm']",0,1
US542735A,1895-07-16,And john o,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'john', 'o']",0,1
US542810A,1895-07-16,And john a,"['CCONJ', 'PROPN', 'PRON']",[],1,0,3,"['and', 'john', 'a']",0,1
US543345A,1895-07-23,And william f,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'f']",0,1
US543823A,1895-07-30,And joseph h,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'joseph', 'h']",0,1
US544319A,1895-08-13,And william p,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'william', 'p']",0,1
US544348A,1895-08-13,And emil germ ann,"['CCONJ', 'ADV', 'X', 'PROPN']",[],1,0,4,"['and', 'emil', 'germ', 'ann']",0,1
US544446A,1895-08-13,And theodore pohlmann,"['CCONJ', 'VERB', 'PROPN']",[],1,0,3,"['and', 'theodore', 'pohlmann']",0,1
US545001A,1895-08-20,And robert d,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'robert', 'd']",0,1
US545070A,1895-08-27,And william p,"['CCONJ', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['and', 'william', 'p']",0,1
US545940A,1895-09-10,And william e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'e']",0,1
US545941A,1895-09-10,And william e,"['CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['and', 'william', 'e']",0,1
US546231A,1895-09-10,And stacy k,"['CCONJ', 'NOUN', 'PROPN']",[],1,0,3,"['and', 'stacy', 'k']",0,1
