patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts,misspelt_words,misspelt
US1900001A,1930-02-06,Method of purifying an anthraquinone body,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'NOUN']",[],1,0,7,"['method', 'of', 'purifying', 'an', 'anthraquinone', 'body']",0,0,{'anthraquinone'},1
US1900048A,1932-01-07,Decalcomania transfer,"['PROPN', 'NOUN']",['GPE'],1,0,3,"['decalcomania', 'transfer']",0,0,{'decalcomania'},1
US1900050A,1931-02-24,Hydraulic press platen travel equalizer,"['ADJ', 'NOUN', 'PROPN', 'NOUN', 'NOUN']",[],1,0,6,"['hydraulic', 'press', 'platen', 'travel', 'equalizer']",0,0,{'platen'},1
US1900052A,1929-08-29,Cardan shaft,"['PROPN', 'NOUN']",['PERSON'],1,1,3,"['cardan', 'shaft']",0,0,{'cardan'},1
US1900099A,1929-05-25,Method of securing contact pins in radiotube bases,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],1,0,9,"['method', 'of', 'securing', 'contact', 'pins', 'in', 'radiotube', 'bases']",0,0,{'radiotube'},1
US1900121A,1929-04-23,Tape moistening and affixing device,"['PROPN', 'VERB', 'CCONJ', 'VERB', 'NOUN']",[],1,0,6,"['tape', 'moistening', 'and', 'affixing', 'device']",0,0,{'moistening'},1
US1900140A,1929-03-09,Method of imbibition printing with pure primary colors and product,"['PROPN', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN']",[],1,0,11,"['method', 'of', 'imbibition', 'printing', 'with', 'pure', 'primary', 'colors', 'and', 'product']",0,0,{'imbibition'},1
US1900154A,1930-02-19,Method and apparatus for defibrating cottonseed hulls,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN']",[],1,0,8,"['method', 'and', 'apparatus', 'for', 'defibrating', 'cottonseed', 'hulls']",0,0,{'defibrating'},1
US1900190A,1931-08-22,Method of and apparatus for separating materials of different specific gravities,"['PROPN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN']",[],1,0,12,"['method', 'of', 'and', 'apparatus', 'for', 'separating', 'materials', 'of', 'different', 'specific', 'gravities']",0,0,{'gravities'},1
US1900196A,1930-07-28,Roofer's gauge,"['PROPN', 'PART', 'NOUN']",['PERSON'],1,1,4,"[""roofer's"", 'gauge']",0,0,"{""roofer's""}",1
