patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US1901894A,1930-09-25,Fuse cut-out,"['PROPN', 'VERB', 'PUNCT', 'ADP']",['PERSON'],1,1,5,"['fuse', 'cut-out']",1
US1902983A,1932-03-04,Marionette control frame and cord wind-up,"['PROPN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'ADP']",[],1,0,9,"['marionette', 'control', 'frame', 'and', 'cord', 'wind-up']",1
US1903394A,1923-08-06,Radiofrequency amplifier,"['PROPN', 'ADP']",[],1,0,3,"['radiofrequency', 'amplifier']",1
US1906384A,1931-04-10,Method for treatment of ceramic materials and articles formed therefrom,"['PROPN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,11,"['method', 'for', 'treatment', 'of', 'ceramic', 'materials', 'and', 'articles', 'formed', 'therefrom']",1
US1908744A,1931-12-18,Brake hook-up,"['PROPN', 'NOUN', 'PUNCT', 'ADP']",['ORG'],1,0,5,"['brake', 'hook-up']",1
US1910718A,1928-12-20,"Medium for cleaning and reducing the swelling of rubber, guttapercha, and articles made therefrom","['ADJ', 'ADP', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,17,"['medium', 'for', 'cleaning', 'and', 'reducing', 'the', 'swelling', 'of', 'rubber,', 'guttapercha,', 'and', 'articles', 'made', 'therefrom']",1
US1914750A,1930-06-30,Method of preparing phosphorus pentachloride,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP']",[],1,0,6,"['method', 'of', 'preparing', 'phosphorus', 'pentachloride']",1
US1915361A,1929-12-28,Method of sealing-in,"['PROPN', 'ADP', 'NOUN', 'PUNCT', 'ADP']",[],1,0,6,"['method', 'of', 'sealing-in']",1
US1915430A,1930-08-29,Azo dyestuffs insoluble in water and fiber dyed therewith,"['PROPN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",['PERSON'],1,1,10,"['azo', 'dyestuffs', 'insoluble', 'in', 'water', 'and', 'fiber', 'dyed', 'therewith']",1
US1915461A,1930-08-29,Azo dyestuffs insoluble in water and fiber dyed therewith,"['PROPN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",['PERSON'],1,1,10,"['azo', 'dyestuffs', 'insoluble', 'in', 'water', 'and', 'fiber', 'dyed', 'therewith']",1
US1915555A,1933-06-27,x  procbss por the production of thickened oil with,"['PUNCT', 'SPACE', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP']",[],1,0,10,"['x', 'procbss', 'por', 'the', 'production', 'of', 'thickened', 'oil', 'with']",1
US1915978A,1932-10-26,Film cut-out,"['PROPN', 'VERB', 'PUNCT', 'ADP']",[],1,0,5,"['film', 'cut-out']",1
US1916414A,1930-07-29,Drill jig,"['PROPN', 'ADP']",[],1,0,3,"['drill', 'jig']",1
US1916621A,1930-03-19,Azo dyestuff and fiber dyed therewith,"['PROPN', 'PROPN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",['PERSON'],1,1,7,"['azo', 'dyestuff', 'and', 'fiber', 'dyed', 'therewith']",1
US1918461A,1929-12-10,Dyestuff derived from 1-8-naphthalic acid anhydride,"['PROPN', 'VERB', 'ADP', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'NOUN', 'ADP']","['PERSON', 'CARDINAL']",1,1,11,"['dyestuff', 'derived', 'from', '1-8-naphthalic', 'acid', 'anhydride']",1
US1919187A,1930-10-16,Brake hook-up,"['PROPN', 'NOUN', 'PUNCT', 'ADP']",['ORG'],1,0,5,"['brake', 'hook-up']",1
US1920828A,1933-08-01,Amino-xylenois and process of,"['PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'NOUN', 'ADP']",[],1,0,6,"['amino-xylenois', 'and', 'process', 'of']",1
US1923848A,1930-04-03,Process of making absorbent materials and compounds mande therefrom,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP']",[],1,0,10,"['process', 'of', 'making', 'absorbent', 'materials', 'and', 'compounds', 'mande', 'therefrom']",1
US1926200A,1933-09-12,Apparatus for cleaning the tubes of,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP']",[],1,0,6,"['apparatus', 'for', 'cleaning', 'the', 'tubes', 'of']",1
US1926498A,1933-09-12,Process foe ihe prepakaiffiow of,"['PROPN', 'VERB', 'ADJ', 'NOUN', 'ADP']",[],1,0,5,"['process', 'foe', 'ihe', 'prepakaiffiow', 'of']",1
US1927115A,1931-11-13,Water-insoluble mono-azodyestuff and fiber dyed therewith,"['NOUN', 'PUNCT', 'ADJ', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,11,"['water-insoluble', 'mono-azodyestuff', 'and', 'fiber', 'dyed', 'therewith']",1
US1927166A,1930-11-14,Method of adhesively joining one material to another,"['PROPN', 'ADP', 'ADV', 'VERB', 'NUM', 'NOUN', 'ADP', 'DET']",['CARDINAL'],1,0,9,"['method', 'of', 'adhesively', 'joining', 'one', 'material', 'to', 'another']",1
US1928020A,1928-06-12,Method of treating pine oil for the separation of components therefrom,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']",[],1,0,12,"['method', 'of', 'treating', 'pine', 'oil', 'for', 'the', 'separation', 'of', 'components', 'therefrom']",1
US1932358A,1930-03-10,Wall construction and securing means therefor,"['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,7,"['wall', 'construction', 'and', 'securing', 'means', 'therefor']",1
US1932381A,1930-05-09,Method of treating lubricating oils and the products resulting therefrom,"['PROPN', 'ADP', 'VERB', 'VERB', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADP']",[],1,0,11,"['method', 'of', 'treating', 'lubricating', 'oils', 'and', 'the', 'products', 'resulting', 'therefrom']",1
US1932460A,1932-04-16,Speaker amplifier,"['PROPN', 'ADP']",[],1,0,3,"['speaker', 'amplifier']",1
US1933109A,1930-03-26,Vacuum tube electrode,"['PROPN', 'NOUN', 'ADP']",[],1,0,4,"['vacuum', 'tube', 'electrode']",1
US1934773A,1929-08-03,Azo dyestuffs insoluble in water and fiber dyed therewith,"['PROPN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",['PERSON'],1,1,10,"['azo', 'dyestuffs', 'insoluble', 'in', 'water', 'and', 'fiber', 'dyed', 'therewith']",1
US1936463A,1932-06-29,Cord retriever,"['PROPN', 'ADP']",[],1,0,3,"['cord', 'retriever']",1
US1936810A,1930-08-19,Method of treating refuse and making building material therefrom,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'NOUN', 'ADP']",[],1,0,10,"['method', 'of', 'treating', 'refuse', 'and', 'making', 'building', 'material', 'therefrom']",1
US1941057A,1927-11-14,Azo dyestuffs and fiber dyed therewith,"['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",['PERSON'],1,1,7,"['azo', 'dyestuffs', 'and', 'fiber', 'dyed', 'therewith']",1
US1942866A,1929-07-20,"Moistureproof igniting composition, especially for matches, and match prepared therewith","['PROPN', 'VERB', 'NOUN', 'PUNCT', 'ADV', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'ADJ', 'ADP']",['ORG'],1,0,13,"['moistureproof', 'igniting', 'composition,', 'especially', 'for', 'matches,', 'and', 'match', 'prepared', 'therewith']",1
US1944539A,1931-05-11,Azo dyestuffs and fiber dyed therewith,"['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",['PERSON'],1,1,7,"['azo', 'dyestuffs', 'and', 'fiber', 'dyed', 'therewith']",1
US1945235A,1928-07-02,Process of preparing a colorless household insecticide,"['PROPN', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP']",[],1,0,8,"['process', 'of', 'preparing', 'a', 'colorless', 'household', 'insecticide']",1
US1945754A,1931-05-13,Traverse rope take-up,"['PROPN', 'NOUN', 'VERB', 'PUNCT', 'ADP']",[],1,0,6,"['traverse', 'rope', 'take-up']",1
US1945769A,1930-02-14,Method of sealing off,"['PROPN', 'ADP', 'VERB', 'ADP']",[],1,0,5,"['method', 'of', 'sealing', 'off']",1
US1946754A,1934-02-13,Apparatus fok the preparation of,"['PROPN', 'VERB', 'DET', 'NOUN', 'ADP']",[],1,0,5,"['apparatus', 'fok', 'the', 'preparation', 'of']",1
US1947031A,1932-08-19,Insole and process of making shoes therewith,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP']",['ORG'],1,0,8,"['insole', 'and', 'process', 'of', 'making', 'shoes', 'therewith']",1
US1947114A,1930-04-30,Method and apparatus for metal working and product resulting therefrom,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,11,"['method', 'and', 'apparatus', 'for', 'metal', 'working', 'and', 'product', 'resulting', 'therefrom']",1
US1950028A,1929-08-29,Base cut-out,"['PROPN', 'VERB', 'PUNCT', 'ADP']",[],1,0,5,"['base', 'cut-out']",1
US1951815A,1931-06-24,Azo-dyestuffs insoluble in water and fiber dyed therewith,"['PROPN', 'PUNCT', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,11,"['azo-dyestuffs', 'insoluble', 'in', 'water', 'and', 'fiber', 'dyed', 'therewith']",1
US1952381A,1934-03-27,Statfs p atp n t off,"['PROPN', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'ADP']",['NORP'],1,0,6,"['statfs', 'p', 'atp', 'n', 't', 'off']",1
US1954351A,1932-03-14,Process of treating pulverized coal and producing powdered coke therefrom,"['NOUN', 'ADP', 'VERB', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'ADJ', 'PROPN', 'ADP']",[],1,0,11,"['process', 'of', 'treating', 'pulverized', 'coal', 'and', 'producing', 'powdered', 'coke', 'therefrom']",1
US1955416A,1934-04-17,Method fob the recovery- of,"['PROPN', 'VERB', 'DET', 'NOUN', 'ADP']",[],1,0,5,"['method', 'fob', 'the', 'recovery-', 'of']",1
US1958416A,1926-12-14,Distillation of tar and recovery of products therefrom,"['PROPN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP']",[],1,0,9,"['distillation', 'of', 'tar', 'and', 'recovery', 'of', 'products', 'therefrom']",1
US1958681A,1929-09-16,Brake hook-up,"['PROPN', 'NOUN', 'PUNCT', 'ADP']",['ORG'],1,0,5,"['brake', 'hook-up']",1
US1959112A,1930-11-15,Process of manufacturing leather and products used in connection therewith,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP']",[],1,0,11,"['process', 'of', 'manufacturing', 'leather', 'and', 'products', 'used', 'in', 'connection', 'therewith']",1
US1959165A,1932-10-26,Electron discharge amplifier,"['PROPN', 'NOUN', 'ADP']",['ORG'],1,0,3,"['electron', 'discharge', 'amplifier']",1
US1959693A,1929-09-16,Brake hook-up,"['PROPN', 'NOUN', 'PUNCT', 'ADP']",['ORG'],1,0,5,"['brake', 'hook-up']",1
US1960626A,1934-05-29,Method for retarding the decay of,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP']",[],1,0,6,"['method', 'for', 'retarding', 'the', 'decay', 'of']",1
US1961510A,1933-01-05,Furnace and regenerator construction therefor,"['PROPN', 'CCONJ', 'NOUN', 'NOUN', 'ADP']",['ORG'],1,0,6,"['furnace', 'and', 'regenerator', 'construction', 'therefor']",1
US1961519A,1932-07-30,Water-insoluble mono-azo-dye-stuffs and fiber dyed therewith,"['NOUN', 'PUNCT', 'ADJ', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP']",[],1,0,15,"['water-insoluble', 'mono-azo-dye-stuffs', 'and', 'fiber', 'dyed', 'therewith']",1
US1961610A,1932-08-12,Method and means for electro-optically photographing sound and sound track resulting therefrom,"['PROPN', 'CCONJ', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADP']",[],1,0,15,"['method', 'and', 'means', 'for', 'electro-optically', 'photographing', 'sound', 'and', 'sound', 'track', 'resulting', 'therefrom']",1
US1961945A,1932-11-19,Manufacture of waterlaid felts and impregnated products prepared therefrom,"['PROPN', 'ADP', 'PROPN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADP']",[],1,0,10,"['manufacture', 'of', 'waterlaid', 'felts', 'and', 'impregnated', 'products', 'prepared', 'therefrom']",1
US1963579A,1929-12-21,Process of preparing molding mixtures and molded articles therefrom,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP']",[],1,0,10,"['process', 'of', 'preparing', 'molding', 'mixtures', 'and', 'molded', 'articles', 'therefrom']",1
US1965375A,1932-10-17,Method of reenforcing sink drainboards and the like and the product resulting therefrom,"['PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADP']",[],1,0,14,"['method', 'of', 'reenforcing', 'sink', 'drainboards', 'and', 'the', 'like', 'and', 'the', 'product', 'resulting', 'therefrom']",1
US1966275A,1934-07-10,Method of and apparatus for,"['PROPN', 'ADP', 'CCONJ', 'NOUN', 'ADP']",[],1,0,5,"['method', 'of', 'and', 'apparatus', 'for']",1
